CookerStat, GenerateAssetRegistry=0.021033, Initialize=0.117179, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=4.002690, FlushAsyncLoading=0.006311, FlushStreamingFunc=0.075415, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=0.339817, TagPackageExports=16.960808, BeginCacheForCookedPlatformData=0.003006, SerializeImports=19.937140, GatherLocalizableTextData=12.770332, MarkNames=0.077516, SerializeSummary=0.014424, SerializeNames=0.291143, SerializeGatherableTextData=0.134002, BuildExportMap=0.278525, SortExportsNonSeekfree=4.141804, SortExportsSeekfreeConstructor=0.047170, SortExportsSeekfreeInner=17.152504, SortExportsSeekfree=0.004206, BuildDependencyMap=0.158940, SerializeImportMap=0.018328, SerializeExportMap=0.085331, SerializeDependencyMap=0.020731, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.519935, SerializeExports=25.298796, SerializeBulkData=0.016224, MoveFile=1.590621, UnaccountedTime=1.493271, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.273022, FlushAsyncLoading=0.009015, FlushStreamingFunc=0.167955, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.259295, TagPackageExports=62.966816, BeginCacheForCookedPlatformData=0.005707, SerializeImports=67.293999, GatherLocalizableTextData=49.337177, MarkNames=0.307966, SerializeSummary=0.013821, SerializeNames=0.619244, SerializeGatherableTextData=0.419438, BuildExportMap=1.072031, SortExportsNonSeekfree=19.895374, SortExportsSeekfreeConstructor=0.051077, SortExportsSeekfreeInner=76.358795, SortExportsSeekfree=0.006009, BuildDependencyMap=0.544731, SerializeImportMap=0.039361, SerializeExportMap=0.281528, SerializeDependencyMap=0.058588, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=14.833573, SerializeExports=89.792236, SerializeBulkData=0.008412, MoveFile=1.773898, UnaccountedTime=1.735143, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.811682, FlushAsyncLoading=0.003602, FlushStreamingFunc=0.076618, BlockTillAllRequestsFinished=0.015926, ResetLoadersForSaveUnMarkAllObjects=0.135504, TagPackageExports=17.917767, BeginCacheForCookedPlatformData=0.002403, SerializeImports=19.747250, GatherLocalizableTextData=12.742389, MarkNames=0.102155, SerializeSummary=0.010516, SerializeNames=0.289042, SerializeGatherableTextData=0.475924, BuildExportMap=0.330500, SortExportsNonSeekfree=3.993079, SortExportsSeekfreeConstructor=0.040859, SortExportsSeekfreeInner=18.352829, SortExportsSeekfree=0.004206, BuildDependencyMap=0.152331, SerializeImportMap=0.017423, SerializeExportMap=0.084430, SerializeDependencyMap=0.103958, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.304429, SerializeExports=24.980013, SerializeBulkData=0.006612, MoveFile=3.132869, UnaccountedTime=0.343122, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.897009, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.151731, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=0.147223, TagPackageExports=64.424034, BeginCacheForCookedPlatformData=0.007812, SerializeImports=68.134682, GatherLocalizableTextData=48.502506, MarkNames=0.391796, SerializeSummary=0.012923, SerializeNames=0.569064, SerializeGatherableTextData=0.473220, BuildExportMap=0.704274, SortExportsNonSeekfree=21.006466, SortExportsSeekfreeConstructor=0.078719, SortExportsSeekfreeInner=77.868896, SortExportsSeekfree=0.006910, BuildDependencyMap=0.593103, SerializeImportMap=0.039060, SerializeExportMap=0.283331, SerializeDependencyMap=0.103056, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.034281, SerializeExports=88.326004, SerializeBulkData=0.008713, MoveFile=2.842024, UnaccountedTime=1.891378, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=7.170413, FlushAsyncLoading=0.006609, FlushStreamingFunc=0.115074, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.161950, TagPackageExports=17.171730, BeginCacheForCookedPlatformData=0.003006, SerializeImports=19.790813, GatherLocalizableTextData=12.693114, MarkNames=0.075415, SerializeSummary=0.011720, SerializeNames=0.292346, SerializeGatherableTextData=0.180274, BuildExportMap=0.282429, SortExportsNonSeekfree=4.050464, SortExportsSeekfreeConstructor=0.049576, SortExportsSeekfreeInner=18.318872, SortExportsSeekfree=0.003606, BuildDependencyMap=0.173967, SerializeImportMap=0.018626, SerializeExportMap=0.085633, SerializeDependencyMap=0.021033, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.658144, SerializeExports=25.867865, SerializeBulkData=0.007812, MoveFile=16.118023, UnaccountedTime=1.430780, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=4.138496, FlushAsyncLoading=0.004210, FlushStreamingFunc=0.166751, BlockTillAllRequestsFinished=0.018630, ResetLoadersForSaveUnMarkAllObjects=0.223540, TagPackageExports=16.616486, BeginCacheForCookedPlatformData=0.003003, SerializeImports=18.694748, GatherLocalizableTextData=12.925070, MarkNames=0.074513, SerializeSummary=0.011418, SerializeNames=0.360548, SerializeGatherableTextData=0.147223, BuildExportMap=0.234056, SortExportsNonSeekfree=4.060980, SortExportsSeekfreeConstructor=0.040259, SortExportsSeekfreeInner=17.701738, SortExportsSeekfree=0.003304, BuildDependencyMap=0.150830, SerializeImportMap=0.018027, SerializeExportMap=0.085331, SerializeDependencyMap=0.021633, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.611276, SerializeExports=25.304806, SerializeBulkData=0.007812, MoveFile=3.743995, UnaccountedTime=1.946364, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.760902, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.065498, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=0.164051, TagPackageExports=18.458288, BeginCacheForCookedPlatformData=0.003908, SerializeImports=19.781199, GatherLocalizableTextData=12.592163, MarkNames=0.076316, SerializeSummary=0.010818, SerializeNames=0.293545, SerializeGatherableTextData=0.217229, BuildExportMap=0.242170, SortExportsNonSeekfree=4.124377, SortExportsSeekfreeConstructor=0.046570, SortExportsSeekfreeInner=18.074903, SortExportsSeekfree=0.004206, BuildDependencyMap=0.155035, SerializeImportMap=0.033654, SerializeExportMap=0.100050, SerializeDependencyMap=0.021033, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.555687, SerializeExports=25.272358, SerializeBulkData=0.007208, MoveFile=2.686691, UnaccountedTime=1.705993, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=16.423292, FlushAsyncLoading=0.010516, FlushStreamingFunc=0.178769, BlockTillAllRequestsFinished=0.005111, ResetLoadersForSaveUnMarkAllObjects=51.161549, TagPackageExports=1.226466, BeginCacheForCookedPlatformData=0.001501, SerializeImports=2.419885, GatherLocalizableTextData=11.056222, MarkNames=0.059191, SerializeSummary=0.009313, SerializeNames=0.395402, SerializeGatherableTextData=0.025239, BuildExportMap=0.339516, SortExportsNonSeekfree=0.857506, SortExportsSeekfreeConstructor=0.038758, SortExportsSeekfreeInner=13.537702, SortExportsSeekfree=0.002403, BuildDependencyMap=0.091340, SerializeImportMap=0.050474, SerializeExportMap=0.041764, SerializeDependencyMap=0.008114, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.159161, SerializeExports=6.708309, SerializeBulkData=1059.500122, MoveFile=3.283098, UnaccountedTime=1.295570, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=45.434540, FlushAsyncLoading=0.026140, FlushStreamingFunc=0.150528, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.219032, TagPackageExports=14.030751, BeginCacheForCookedPlatformData=0.003003, SerializeImports=15.264429, GatherLocalizableTextData=11.401448, MarkNames=0.070907, SerializeSummary=0.010516, SerializeNames=0.283331, SerializeGatherableTextData=0.094347, BuildExportMap=0.244871, SortExportsNonSeekfree=3.074881, SortExportsSeekfreeConstructor=0.006910, SortExportsSeekfreeInner=14.911089, SortExportsSeekfree=0.003908, BuildDependencyMap=0.120483, SerializeImportMap=0.029143, SerializeExportMap=0.079323, SerializeDependencyMap=0.018328, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.275061, SerializeExports=19.264116, SerializeBulkData=0.021331, MoveFile=1.749262, UnaccountedTime=1.611654, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Box.uasset, AutoPackageBackupDelegate=24.663631, FlushAsyncLoading=0.029445, FlushStreamingFunc=0.161044, BlockTillAllRequestsFinished=0.005711, ResetLoadersForSaveUnMarkAllObjects=0.191391, TagPackageExports=4.227433, BeginCacheForCookedPlatformData=0.001803, SerializeImports=5.512487, GatherLocalizableTextData=5.859215, MarkNames=0.045970, SerializeSummary=0.008415, SerializeNames=0.291143, SerializeGatherableTextData=0.053782, BuildExportMap=0.183277, SortExportsNonSeekfree=1.182001, SortExportsSeekfreeConstructor=0.006307, SortExportsSeekfreeInner=7.147577, SortExportsSeekfree=0.003308, BuildDependencyMap=0.068203, SerializeImportMap=0.012018, SerializeExportMap=0.038158, SerializeDependencyMap=0.074215, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.358655, SerializeExports=7.431507, SerializeBulkData=0.004508, MoveFile=1.585212, UnaccountedTime=1.407642, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
SavePackageTransactionId23AE67A2437A2CD02F7EF4B1BD1AB1A3_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.989847, FlushAsyncLoading=0.005111, FlushStreamingFunc=0.087131, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.181779, TagPackageExports=17.920471, BeginCacheForCookedPlatformData=0.003003, SerializeImports=19.444387, GatherLocalizableTextData=12.804888, MarkNames=0.078719, SerializeSummary=0.012018, SerializeNames=0.287838, SerializeGatherableTextData=0.135504, BuildExportMap=0.225645, SortExportsNonSeekfree=4.082914, SortExportsSeekfreeConstructor=0.041161, SortExportsSeekfreeInner=18.388882, SortExportsSeekfree=0.004206, BuildDependencyMap=0.153534, SerializeImportMap=0.017423, SerializeExportMap=0.085331, SerializeDependencyMap=0.020731, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.627797, SerializeExports=25.034697, SerializeBulkData=0.007514, MoveFile=15.499387, UnaccountedTime=0.302561, RunGuid=RunID40C7FFF5490505989D117F9B589610CB
