CookerStat, GenerateAssetRegistry=0.027940, Initialize=0.163145, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E57A8AFB49CC213A0083F28E1512D639__1_0_13123_0, StartTime=2017.11.19-15.43.47, HierarchicalDDC=, DataSize=458, Duration=15.994605, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E1C4061448AF52E04984DB8961F08DEE__1_0_13123_0, StartTime=2017.11.19-15.43.47, HierarchicalDDC=, DataSize=458, Duration=15.994906, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionIdC071E400405882B328F5D7857DE46CCB_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_85D2375449874E8CAC085B84D2FB138B__1_0_13123_0, StartTime=2017.11.19-15.43.47, HierarchicalDDC=, DataSize=458, Duration=1.997411, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D987FD084B4220A5D03AC3AC05856893__1_0_13123_0, StartTime=2017.11.19-15.43.47, HierarchicalDDC=, DataSize=18033, Duration=1.855597, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E7F26B0749E838B4B6255BA67F09D1F7__1_0_13123_0, StartTime=2017.11.19-15.43.47, HierarchicalDDC=, DataSize=465, Duration=2.339024, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionIdC071E400405882B328F5D7857DE46CCB_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DCD6D1F0435B4B8EEE22938A1CF6E7B5__1_0_13123_0, StartTime=2017.11.19-15.43.49, HierarchicalDDC=, DataSize=458, Duration=2.037972, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_89210F77475AA56524F7D2B5F42C9248__1_0_13123_0, StartTime=2017.11.19-15.43.49, HierarchicalDDC=, DataSize=458, Duration=1.960453, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_66237305443EA8C4A37C429F7A4A279B__1_0_13123_0, StartTime=2017.11.19-15.43.49, HierarchicalDDC=, DataSize=458, Duration=1.638971, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionIdC071E400405882B328F5D7857DE46CCB_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_139F55D047641A10B1F152ADD78A24E6__1_0_13123_0, StartTime=2017.11.19-15.43.49, HierarchicalDDC=, DataSize=20153, Duration=1.401011, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E24292304B28A2DB2139B6AB1165462E__1_0_13123_0, StartTime=2017.11.19-15.43.49, HierarchicalDDC=, DataSize=465, Duration=1.910880, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DF5B7227486371CB87F4DCABE9BB4957__1_0_13123_0, StartTime=2017.11.19-15.43.51, HierarchicalDDC=, DataSize=458, Duration=1.979984, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CB9795B64330AAFECE4936909E72885E__1_0_13123_0, StartTime=2017.11.19-15.43.51, HierarchicalDDC=, DataSize=458, Duration=1.714386, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionIdC071E400405882B328F5D7857DE46CCB_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_910E032C40E0767CA6CED89C949795C0__1_0_13123_0, StartTime=2017.11.19-15.43.51, HierarchicalDDC=, DataSize=458, Duration=15.762653, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_71F41DE94431338B5871FD89675B9653__1_0_13123_0, StartTime=2017.11.19-15.43.51, HierarchicalDDC=, DataSize=20601, Duration=1.670819, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9CFB20C049D6BF87715B7E8E9422E31E__1_0_13123_0, StartTime=2017.11.19-15.43.51, HierarchicalDDC=, DataSize=465, Duration=1.930408, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId048C0DAD4C3C1D576AF400A275159764_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BC08EFC34E975398E8005AAB1C9BEDD5__1_0_13123_0, StartTime=2017.11.19-15.43.56, HierarchicalDDC=, DataSize=458, Duration=18.799931, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionIdC071E400405882B328F5D7857DE46CCB_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B00DA917426ABF19FD3A078CE2EA4D5D__1_0_13123_0, StartTime=2017.11.19-15.43.56, HierarchicalDDC=, DataSize=458, Duration=45.910088, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
DDCTransactionId5F18F682468E9109A59AD3A7391EB8C4_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C096FE004F7E19CAFA5561B850E2D8CE__1_0_13123_0, StartTime=2017.11.19-15.43.56, HierarchicalDDC=, DataSize=458, Duration=17.672031, RunGuid=RunID3F179C274C527ADD9B2B5E84A674C882
