CookerStat, GenerateAssetRegistry=0.046574, Initialize=42.538654, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem_Child.uasset, AutoPackageBackupDelegate=6.826569, FlushAsyncLoading=0.006307, FlushStreamingFunc=0.076320, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.374679, TagPackageExports=2.597220, BeginCacheForCookedPlatformData=0.001505, SerializeImports=3.400363, GatherLocalizableTextData=2.972502, MarkNames=0.025541, SerializeSummary=0.012018, SerializeNames=0.178777, SerializeGatherableTextData=0.035454, BuildExportMap=0.101559, SortExportsNonSeekfree=0.523411, SortExportsSeekfreeConstructor=0.062194, SortExportsSeekfreeInner=5.225390, SortExportsSeekfree=0.002705, BuildDependencyMap=0.035454, SerializeImportMap=0.011418, SerializeExportMap=0.019833, SerializeDependencyMap=0.005107, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.808488, SerializeExports=4.527111, SerializeBulkData=0.010815, MoveFile=1.432315, UnaccountedTime=1.378235, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=198.112900, FlushAsyncLoading=0.029445, FlushStreamingFunc=0.204615, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=602.915771, TagPackageExports=2.636284, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.810201, GatherLocalizableTextData=21.528627, MarkNames=0.075415, SerializeSummary=0.011418, SerializeNames=0.443786, SerializeGatherableTextData=0.026140, BuildExportMap=0.399921, SortExportsNonSeekfree=1.019176, SortExportsSeekfreeConstructor=0.040263, SortExportsSeekfreeInner=18.380356, SortExportsSeekfree=0.003006, BuildDependencyMap=0.110868, SerializeImportMap=0.049874, SerializeExportMap=0.049278, SerializeDependencyMap=0.012018, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.320243, SerializeExports=13.212051, SerializeBulkData=1033.494995, MoveFile=3.803287, UnaccountedTime=1.352094, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=19.327421, FlushAsyncLoading=0.009011, FlushStreamingFunc=0.091944, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=49.449654, TagPackageExports=2.632976, BeginCacheForCookedPlatformData=0.002705, SerializeImports=3.985070, GatherLocalizableTextData=21.293663, MarkNames=0.074815, SerializeSummary=0.013523, SerializeNames=0.493966, SerializeGatherableTextData=0.052880, BuildExportMap=0.349142, SortExportsNonSeekfree=0.985526, SortExportsSeekfreeConstructor=0.041161, SortExportsSeekfreeInner=18.730097, SortExportsSeekfree=0.003308, BuildDependencyMap=0.119884, SerializeImportMap=0.049576, SerializeExportMap=0.049576, SerializeDependencyMap=0.011716, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.315735, SerializeExports=13.732761, SerializeBulkData=1024.818726, MoveFile=3.908750, UnaccountedTime=0.204917, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=2.416339, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.104263, BlockTillAllRequestsFinished=0.003003, ResetLoadersForSaveUnMarkAllObjects=49.476395, TagPackageExports=2.119780, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.855269, GatherLocalizableTextData=21.882578, MarkNames=0.071511, SerializeSummary=0.011414, SerializeNames=0.457007, SerializeGatherableTextData=0.026140, BuildExportMap=0.407431, SortExportsNonSeekfree=1.008362, SortExportsSeekfreeConstructor=0.038460, SortExportsSeekfreeInner=18.461782, SortExportsSeekfree=0.002701, BuildDependencyMap=0.109371, SerializeImportMap=0.051379, SerializeExportMap=0.050478, SerializeDependencyMap=0.011720, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.337070, SerializeExports=13.760403, SerializeBulkData=1037.377319, MoveFile=4.876550, UnaccountedTime=1.370423, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=23.063402, FlushAsyncLoading=0.012320, FlushStreamingFunc=0.161950, BlockTillAllRequestsFinished=0.005111, ResetLoadersForSaveUnMarkAllObjects=0.205215, TagPackageExports=14.457785, BeginCacheForCookedPlatformData=0.004806, SerializeImports=15.973028, GatherLocalizableTextData=11.605769, MarkNames=0.071511, SerializeSummary=0.009011, SerializeNames=0.277933, SerializeGatherableTextData=0.096448, BuildExportMap=0.214834, SortExportsNonSeekfree=3.214978, SortExportsSeekfreeConstructor=0.009313, SortExportsSeekfreeInner=14.218911, SortExportsSeekfree=0.003606, BuildDependencyMap=0.118986, SerializeImportMap=0.014722, SerializeExportMap=0.076920, SerializeDependencyMap=0.018626, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.228551, SerializeExports=20.286509, SerializeBulkData=0.007208, MoveFile=2.907902, UnaccountedTime=1.599677, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=65.532356, FlushAsyncLoading=0.055585, FlushStreamingFunc=0.134908, BlockTillAllRequestsFinished=0.005711, ResetLoadersForSaveUnMarkAllObjects=0.219338, TagPackageExports=53.275177, BeginCacheForCookedPlatformData=0.004206, SerializeImports=53.917568, GatherLocalizableTextData=34.693211, MarkNames=0.202812, SerializeSummary=0.012018, SerializeNames=0.337724, SerializeGatherableTextData=0.326905, BuildExportMap=0.384595, SortExportsNonSeekfree=11.978947, SortExportsSeekfreeConstructor=0.007212, SortExportsSeekfreeInner=51.450748, SortExportsSeekfree=0.004210, BuildDependencyMap=0.390302, SerializeImportMap=0.020429, SerializeExportMap=0.210326, SerializeDependencyMap=0.043266, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.809741, SerializeExports=64.200089, SerializeBulkData=0.006612, MoveFile=2.824072, UnaccountedTime=1.681402, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=39.974483, FlushAsyncLoading=0.027642, FlushStreamingFunc=0.191398, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=0.338323, TagPackageExports=19.758888, BeginCacheForCookedPlatformData=0.008415, SerializeImports=22.686321, GatherLocalizableTextData=16.999115, MarkNames=0.104263, SerializeSummary=0.010516, SerializeNames=0.393908, SerializeGatherableTextData=0.128299, BuildExportMap=0.325702, SortExportsNonSeekfree=6.562460, SortExportsSeekfreeConstructor=0.008713, SortExportsSeekfreeInner=22.186951, SortExportsSeekfree=0.005107, BuildDependencyMap=0.191696, SerializeImportMap=0.023436, SerializeExportMap=0.113878, SerializeDependencyMap=0.024937, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.610387, SerializeExports=30.774542, SerializeBulkData=0.008114, MoveFile=2.708994, UnaccountedTime=2.337616, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem_Child.uasset, AutoPackageBackupDelegate=3.405772, FlushAsyncLoading=0.020433, FlushStreamingFunc=0.043567, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=0.165556, TagPackageExports=2.572283, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.466770, GatherLocalizableTextData=2.959281, MarkNames=0.023436, SerializeSummary=0.008412, SerializeNames=0.191096, SerializeGatherableTextData=0.060093, BuildExportMap=0.095848, SortExportsNonSeekfree=0.572085, SortExportsSeekfreeConstructor=0.005711, SortExportsSeekfreeInner=5.347677, SortExportsSeekfree=0.002705, BuildDependencyMap=0.033654, SerializeImportMap=0.008713, SerializeExportMap=0.019230, SerializeDependencyMap=0.004206, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.173659, SerializeExports=4.067395, SerializeBulkData=0.003304, MoveFile=1.290798, UnaccountedTime=1.187138, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=2.599023, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.075117, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.139117, TagPackageExports=50.598030, BeginCacheForCookedPlatformData=0.003308, SerializeImports=56.390095, GatherLocalizableTextData=33.730221, MarkNames=1.028791, SerializeSummary=0.024639, SerializeNames=0.523411, SerializeGatherableTextData=0.332013, BuildExportMap=0.400819, SortExportsNonSeekfree=13.030272, SortExportsSeekfreeConstructor=0.050779, SortExportsSeekfreeInner=47.244839, SortExportsSeekfree=0.004206, BuildDependencyMap=0.382192, SerializeImportMap=0.026740, SerializeExportMap=0.231057, SerializeDependencyMap=0.058591, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.391194, SerializeExports=71.302185, SerializeBulkData=0.026140, MoveFile=1.773946, UnaccountedTime=1.398668, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=23.962696, FlushAsyncLoading=0.014424, FlushStreamingFunc=0.111472, BlockTillAllRequestsFinished=0.005707, ResetLoadersForSaveUnMarkAllObjects=53.147480, TagPackageExports=2.226449, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.667779, GatherLocalizableTextData=21.699593, MarkNames=0.079624, SerializeSummary=0.012618, SerializeNames=0.495166, SerializeGatherableTextData=0.041466, BuildExportMap=0.360858, SortExportsNonSeekfree=1.031198, SortExportsSeekfreeConstructor=0.046872, SortExportsSeekfreeInner=18.708162, SortExportsSeekfree=0.003304, BuildDependencyMap=0.116281, SerializeImportMap=0.050779, SerializeExportMap=0.050779, SerializeDependencyMap=0.012320, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.337372, SerializeExports=13.811782, SerializeBulkData=1046.636719, MoveFile=4.541829, UnaccountedTime=1.372527, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
SavePackageTransactionId1DFC710842D7B6445FF1D2864BBB3CE2_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=4.245270, FlushAsyncLoading=0.004809, FlushStreamingFunc=0.141520, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.168260, TagPackageExports=44.125412, BeginCacheForCookedPlatformData=0.005107, SerializeImports=46.514709, GatherLocalizableTextData=33.887661, MarkNames=0.158947, SerializeSummary=0.013519, SerializeNames=0.396013, SerializeGatherableTextData=0.295360, BuildExportMap=0.322096, SortExportsNonSeekfree=10.050260, SortExportsSeekfreeConstructor=0.044771, SortExportsSeekfreeInner=41.529991, SortExportsSeekfree=0.004809, BuildDependencyMap=1.261353, SerializeImportMap=0.020131, SerializeExportMap=0.235863, SerializeDependencyMap=0.058889, SerializeStringAssetReferenceMap=0.002407, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.038148, SerializeExports=60.492046, SerializeBulkData=0.008713, MoveFile=3.514543, UnaccountedTime=1.513444, RunGuid=RunIDF227DD87489C34CD59BF2FB8E9300E13
