CookerStat, GenerateAssetRegistry=0.023738, Initialize=0.111472, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=35.603210, FlushAsyncLoading=0.025541, FlushStreamingFunc=0.046272, BlockTillAllRequestsFinished=0.006311, ResetLoadersForSaveUnMarkAllObjects=0.958178, TagPackageExports=69.663239, BeginCacheForCookedPlatformData=0.005409, SerializeImports=73.278122, GatherLocalizableTextData=52.239014, MarkNames=0.338323, SerializeSummary=0.017729, SerializeNames=0.633378, SerializeGatherableTextData=0.556760, BuildExportMap=0.730429, SortExportsNonSeekfree=22.370768, SortExportsSeekfreeConstructor=0.060093, SortExportsSeekfreeInner=83.050423, SortExportsSeekfree=0.007812, BuildDependencyMap=1.730073, SerializeImportMap=0.043269, SerializeExportMap=0.385493, SerializeDependencyMap=0.066701, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.496746, SerializeExports=100.398926, SerializeBulkData=0.021935, MoveFile=3.408469, UnaccountedTime=1.923270, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=57.041935, FlushAsyncLoading=0.008415, FlushStreamingFunc=0.154138, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.161950, TagPackageExports=21.577843, BeginCacheForCookedPlatformData=0.003602, SerializeImports=22.371367, GatherLocalizableTextData=16.024359, MarkNames=0.149030, SerializeSummary=0.012022, SerializeNames=0.309177, SerializeGatherableTextData=0.175472, BuildExportMap=0.249986, SortExportsNonSeekfree=5.267739, SortExportsSeekfreeConstructor=0.044469, SortExportsSeekfreeInner=21.129847, SortExportsSeekfree=0.003606, BuildDependencyMap=0.179075, SerializeImportMap=0.019230, SerializeExportMap=0.142422, SerializeDependencyMap=0.024635, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.137447, SerializeExports=31.119682, SerializeBulkData=0.007812, MoveFile=1.363806, UnaccountedTime=1.453947, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=6.353017, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.134911, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.206720, TagPackageExports=23.716543, BeginCacheForCookedPlatformData=0.003606, SerializeImports=25.083658, GatherLocalizableTextData=16.724140, MarkNames=0.091340, SerializeSummary=0.011720, SerializeNames=0.304371, SerializeGatherableTextData=0.167359, BuildExportMap=0.250585, SortExportsNonSeekfree=5.556785, SortExportsSeekfreeConstructor=0.041164, SortExportsSeekfreeInner=24.108652, SortExportsSeekfree=0.004206, BuildDependencyMap=0.191394, SerializeImportMap=0.020731, SerializeExportMap=0.130702, SerializeDependencyMap=0.038460, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.402159, SerializeExports=30.995890, SerializeBulkData=0.008114, MoveFile=2.876647, UnaccountedTime=1.618300, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=4.245862, FlushAsyncLoading=0.022233, FlushStreamingFunc=0.148129, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.176672, TagPackageExports=24.834875, BeginCacheForCookedPlatformData=0.004806, SerializeImports=24.727606, GatherLocalizableTextData=16.388823, MarkNames=0.090141, SerializeSummary=0.011716, SerializeNames=0.292052, SerializeGatherableTextData=0.200409, BuildExportMap=0.280034, SortExportsNonSeekfree=5.562495, SortExportsSeekfreeConstructor=0.040561, SortExportsSeekfreeInner=24.066586, SortExportsSeekfree=0.003606, BuildDependencyMap=0.237666, SerializeImportMap=0.019230, SerializeExportMap=0.111472, SerializeDependencyMap=0.024937, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.306005, SerializeExports=31.525612, SerializeBulkData=0.007212, MoveFile=3.199041, UnaccountedTime=1.636628, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.777193, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.125896, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.143923, TagPackageExports=24.470110, BeginCacheForCookedPlatformData=0.003904, SerializeImports=25.254622, GatherLocalizableTextData=17.150198, MarkNames=0.094347, SerializeSummary=0.011116, SerializeNames=0.304971, SerializeGatherableTextData=0.205819, BuildExportMap=0.277929, SortExportsNonSeekfree=5.390629, SortExportsSeekfreeConstructor=0.040565, SortExportsSeekfreeInner=24.059973, SortExportsSeekfree=0.003908, BuildDependencyMap=0.280634, SerializeImportMap=0.019830, SerializeExportMap=0.114478, SerializeDependencyMap=0.026140, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.464054, SerializeExports=34.471062, SerializeBulkData=0.007812, MoveFile=3.016960, UnaccountedTime=1.871292, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=2.708085, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.065800, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.157744, TagPackageExports=24.955957, BeginCacheForCookedPlatformData=0.003908, SerializeImports=24.066284, GatherLocalizableTextData=17.119850, MarkNames=0.130702, SerializeSummary=0.011418, SerializeNames=0.326905, SerializeGatherableTextData=0.165254, BuildExportMap=0.256598, SortExportsNonSeekfree=5.433895, SortExportsSeekfreeConstructor=0.041466, SortExportsSeekfreeInner=24.450880, SortExportsSeekfree=0.003602, BuildDependencyMap=0.198007, SerializeImportMap=0.018928, SerializeExportMap=0.112977, SerializeDependencyMap=0.025541, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.598962, SerializeExports=33.776684, SerializeBulkData=0.007212, MoveFile=2.513081, UnaccountedTime=0.373177, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.044497, FlushAsyncLoading=0.006609, FlushStreamingFunc=0.095248, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.152636, TagPackageExports=74.257339, BeginCacheForCookedPlatformData=0.005707, SerializeImports=75.041550, GatherLocalizableTextData=56.061825, MarkNames=0.354849, SerializeSummary=0.015020, SerializeNames=0.670336, SerializeGatherableTextData=0.479542, BuildExportMap=0.735838, SortExportsNonSeekfree=22.747547, SortExportsSeekfreeConstructor=0.051077, SortExportsSeekfreeInner=88.680519, SortExportsSeekfree=0.006612, BuildDependencyMap=1.105107, SerializeImportMap=0.041164, SerializeExportMap=0.327203, SerializeDependencyMap=0.064299, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.780684, SerializeExports=99.634842, SerializeBulkData=0.009615, MoveFile=2.874844, UnaccountedTime=1.707535, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/CraftComponent.uasset, AutoPackageBackupDelegate=7.689182, FlushAsyncLoading=0.006609, FlushStreamingFunc=0.058591, BlockTillAllRequestsFinished=0.005707, ResetLoadersForSaveUnMarkAllObjects=0.234965, TagPackageExports=24.532001, BeginCacheForCookedPlatformData=0.004210, SerializeImports=25.724545, GatherLocalizableTextData=17.456371, MarkNames=0.094946, SerializeSummary=0.012320, SerializeNames=0.307675, SerializeGatherableTextData=0.242174, BuildExportMap=0.271920, SortExportsNonSeekfree=5.582929, SortExportsSeekfreeConstructor=0.104260, SortExportsSeekfreeInner=25.369699, SortExportsSeekfree=0.004504, BuildDependencyMap=0.199512, SerializeImportMap=0.019532, SerializeExportMap=0.116877, SerializeDependencyMap=0.025541, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.580030, SerializeExports=34.151970, SerializeBulkData=0.008412, MoveFile=1.341276, UnaccountedTime=1.366209, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/Dt_ConvertRecipes_Auto1.uasset, AutoPackageBackupDelegate=3.434006, FlushAsyncLoading=0.004206, FlushStreamingFunc=0.160746, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.302866, TagPackageExports=0.024639, BeginCacheForCookedPlatformData=0.000902, SerializeImports=0.758972, GatherLocalizableTextData=12.023378, MarkNames=0.018328, SerializeSummary=0.010516, SerializeNames=0.016525, SerializeGatherableTextData=0.000902, BuildExportMap=0.014123, SortExportsNonSeekfree=0.005107, SortExportsSeekfreeConstructor=0.049274, SortExportsSeekfreeInner=0.066705, SortExportsSeekfree=0.002403, BuildDependencyMap=0.005107, SerializeImportMap=0.004809, SerializeExportMap=0.003904, SerializeDependencyMap=0.000902, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.031549, SerializeExports=0.184186, SerializeBulkData=0.005707, MoveFile=22.951864, UnaccountedTime=0.312183, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/Dt_ConvertRecipes.uasset, AutoPackageBackupDelegate=6.784786, FlushAsyncLoading=0.005107, FlushStreamingFunc=0.139114, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.517100, TagPackageExports=0.009313, BeginCacheForCookedPlatformData=0.000902, SerializeImports=0.798635, GatherLocalizableTextData=0.030346, MarkNames=0.007212, SerializeSummary=0.008713, SerializeNames=0.024639, SerializeGatherableTextData=0.001200, BuildExportMap=0.025541, SortExportsNonSeekfree=0.006009, SortExportsSeekfreeConstructor=0.006311, SortExportsSeekfreeInner=0.063699, SortExportsSeekfree=0.001803, BuildDependencyMap=0.006009, SerializeImportMap=0.004508, SerializeExportMap=0.003602, SerializeDependencyMap=0.001203, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.029445, SerializeExports=0.127699, SerializeBulkData=0.004206, MoveFile=1.015872, UnaccountedTime=1.226496, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
SavePackageTransactionIdFB5C7F53478EA0DDB3A12890409D81DF_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=1036.229980, FlushAsyncLoading=0.018626, FlushStreamingFunc=0.192899, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=574.635742, TagPackageExports=2.404317, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.796667, GatherLocalizableTextData=22.045061, MarkNames=0.073314, SerializeSummary=0.011716, SerializeNames=0.491560, SerializeGatherableTextData=0.026744, BuildExportMap=0.377081, SortExportsNonSeekfree=1.153484, SortExportsSeekfreeConstructor=0.042666, SortExportsSeekfreeInner=18.930748, SortExportsSeekfree=0.003006, BuildDependencyMap=0.141818, SerializeImportMap=0.051081, SerializeExportMap=0.050176, SerializeDependencyMap=0.012022, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.453046, SerializeExports=13.681639, SerializeBulkData=1043.607300, MoveFile=4.361540, UnaccountedTime=0.221740, RunGuid=RunIDAFD03A6F47EA1443E36604BD2139BDC9
