CookerStat, GenerateAssetRegistry=7.187363, Initialize=37.805683, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=161.685471, FlushAsyncLoading=0.007510, FlushStreamingFunc=0.197072, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.379421, TagPackageExports=43.230824, BeginCacheForCookedPlatformData=0.003606, SerializeImports=64.403580, GatherLocalizableTextData=30.923538, MarkNames=0.228014, SerializeSummary=0.015318, SerializeNames=0.402555, SerializeGatherableTextData=0.286594, BuildExportMap=0.579793, SortExportsNonSeekfree=10.329075, SortExportsSeekfreeConstructor=0.054974, SortExportsSeekfreeInner=40.089115, SortExportsSeekfree=0.012316, BuildDependencyMap=0.448216, SerializeImportMap=0.021029, SerializeExportMap=0.188056, SerializeDependencyMap=0.039957, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.608696, SerializeExports=62.230099, SerializeBulkData=0.020128, MoveFile=2.663154, UnaccountedTime=1.531504, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=6.232355, FlushAsyncLoading=0.006307, FlushStreamingFunc=0.156514, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.158615, TagPackageExports=34.239487, BeginCacheForCookedPlatformData=0.005107, SerializeImports=36.114361, GatherLocalizableTextData=26.185133, MarkNames=0.147503, SerializeSummary=0.012618, SerializeNames=0.415470, SerializeGatherableTextData=0.249043, BuildExportMap=0.488769, SortExportsNonSeekfree=10.156337, SortExportsSeekfreeConstructor=0.044763, SortExportsSeekfreeInner=36.629868, SortExportsSeekfree=0.008110, BuildDependencyMap=0.287496, SerializeImportMap=0.033945, SerializeExportMap=0.221103, SerializeDependencyMap=0.035446, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.913615, SerializeExports=50.177258, SerializeBulkData=0.011418, MoveFile=3.111370, UnaccountedTime=1.913626, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=6.570917, FlushAsyncLoading=0.021327, FlushStreamingFunc=0.189260, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.235826, TagPackageExports=83.143898, BeginCacheForCookedPlatformData=0.006009, SerializeImports=89.410194, GatherLocalizableTextData=58.801796, MarkNames=0.330754, SerializeSummary=0.013817, SerializeNames=0.766054, SerializeGatherableTextData=0.486668, BuildExportMap=1.272846, SortExportsNonSeekfree=27.082764, SortExportsSeekfreeConstructor=0.056479, SortExportsSeekfreeInner=102.093300, SortExportsSeekfree=0.006609, BuildDependencyMap=1.760416, SerializeImportMap=0.088625, SerializeExportMap=0.366502, SerializeDependencyMap=0.075106, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.185226, SerializeExports=115.838966, SerializeBulkData=0.009611, MoveFile=2.447158, UnaccountedTime=1.823802, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=4.331041, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.098236, BlockTillAllRequestsFinished=0.004504, ResetLoadersForSaveUnMarkAllObjects=0.148404, TagPackageExports=35.273804, BeginCacheForCookedPlatformData=0.005107, SerializeImports=36.646992, GatherLocalizableTextData=25.780478, MarkNames=0.138190, SerializeSummary=0.012018, SerializeNames=0.386331, SerializeGatherableTextData=0.275776, BuildExportMap=0.444911, SortExportsNonSeekfree=10.071922, SortExportsSeekfreeConstructor=0.042059, SortExportsSeekfreeInner=35.137115, SortExportsSeekfree=0.006612, BuildDependencyMap=0.316933, SerializeImportMap=0.030641, SerializeExportMap=0.163425, SerializeDependencyMap=0.035748, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.016882, SerializeExports=47.265064, SerializeBulkData=0.008412, MoveFile=2.709117, UnaccountedTime=1.975510, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=5.748089, FlushAsyncLoading=0.005107, FlushStreamingFunc=0.154112, BlockTillAllRequestsFinished=0.004504, ResetLoadersForSaveUnMarkAllObjects=0.151109, TagPackageExports=34.433853, BeginCacheForCookedPlatformData=0.005107, SerializeImports=36.097836, GatherLocalizableTextData=26.247021, MarkNames=0.142094, SerializeSummary=0.013519, SerializeNames=0.388432, SerializeGatherableTextData=0.266165, BuildExportMap=0.455424, SortExportsNonSeekfree=10.394566, SortExportsSeekfreeConstructor=0.042357, SortExportsSeekfreeInner=35.174671, SortExportsSeekfree=0.007510, BuildDependencyMap=0.285093, SerializeImportMap=0.030942, SerializeExportMap=0.164628, SerializeDependencyMap=0.035446, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.186018, SerializeExports=49.109894, SerializeBulkData=0.021327, MoveFile=1.725268, UnaccountedTime=1.459703, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto1.umap, AutoPackageBackupDelegate=16.942650, FlushAsyncLoading=0.011116, FlushStreamingFunc=0.133082, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=57.329472, TagPackageExports=2.344716, BeginCacheForCookedPlatformData=0.001501, SerializeImports=4.043251, GatherLocalizableTextData=24.556297, MarkNames=0.082012, SerializeSummary=0.028841, SerializeNames=0.574086, SerializeGatherableTextData=0.039656, BuildExportMap=0.509199, SortExportsNonSeekfree=1.039427, SortExportsSeekfreeConstructor=0.040855, SortExportsSeekfreeInner=20.968777, SortExportsSeekfree=0.003304, BuildDependencyMap=0.128876, SerializeImportMap=0.057377, SerializeExportMap=0.055578, SerializeDependencyMap=0.012919, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.429960, SerializeExports=14.358808, SerializeBulkData=1045.504028, MoveFile=2.454970, UnaccountedTime=0.275776, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon_Auto1.uasset, AutoPackageBackupDelegate=2.749674, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.205483, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.138789, TagPackageExports=35.281315, BeginCacheForCookedPlatformData=0.005107, SerializeImports=37.447887, GatherLocalizableTextData=27.904995, MarkNames=0.194065, SerializeSummary=0.012320, SerializeNames=0.401348, SerializeGatherableTextData=0.277281, BuildExportMap=0.435900, SortExportsNonSeekfree=10.118484, SortExportsSeekfreeConstructor=0.029139, SortExportsSeekfreeInner=35.824764, SortExportsSeekfree=0.006307, BuildDependencyMap=0.502892, SerializeImportMap=0.030644, SerializeExportMap=0.165526, SerializeDependencyMap=0.033047, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.142756, SerializeExports=47.642082, SerializeBulkData=0.010211, MoveFile=11.251942, UnaccountedTime=0.527825, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=2.702508, FlushAsyncLoading=0.002403, FlushStreamingFunc=0.057079, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.144497, TagPackageExports=33.285072, BeginCacheForCookedPlatformData=0.004809, SerializeImports=37.022808, GatherLocalizableTextData=26.819904, MarkNames=0.175141, SerializeSummary=0.011716, SerializeNames=0.426885, SerializeGatherableTextData=0.834245, BuildExportMap=0.459332, SortExportsNonSeekfree=10.048188, SortExportsSeekfreeConstructor=0.010215, SortExportsSeekfreeInner=38.379166, SortExportsSeekfree=0.006009, BuildDependencyMap=0.294704, SerializeImportMap=0.033345, SerializeExportMap=0.168830, SerializeDependencyMap=0.041455, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.955445, SerializeExports=49.066032, SerializeBulkData=0.008412, MoveFile=1.515880, UnaccountedTime=1.455497, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon.uasset, AutoPackageBackupDelegate=12.367073, FlushAsyncLoading=0.005707, FlushStreamingFunc=0.151407, BlockTillAllRequestsFinished=0.005707, ResetLoadersForSaveUnMarkAllObjects=0.195570, TagPackageExports=21.523037, BeginCacheForCookedPlatformData=0.003606, SerializeImports=22.836737, GatherLocalizableTextData=17.017752, MarkNames=0.096433, SerializeSummary=0.013519, SerializeNames=0.370707, SerializeGatherableTextData=0.142395, BuildExportMap=0.273976, SortExportsNonSeekfree=6.838586, SortExportsSeekfreeConstructor=0.041757, SortExportsSeekfreeInner=23.729563, SortExportsSeekfree=0.004206, BuildDependencyMap=0.182953, SerializeImportMap=0.021029, SerializeExportMap=0.110254, SerializeDependencyMap=0.023130, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.785193, SerializeExports=30.800667, SerializeBulkData=0.008412, MoveFile=2.638519, UnaccountedTime=1.764923, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=4.893116, FlushAsyncLoading=0.005107, FlushStreamingFunc=0.123769, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.209689, TagPackageExports=36.067795, BeginCacheForCookedPlatformData=0.005707, SerializeImports=37.417549, GatherLocalizableTextData=26.792566, MarkNames=0.147503, SerializeSummary=0.012618, SerializeNames=0.508897, SerializeGatherableTextData=0.574388, BuildExportMap=0.480060, SortExportsNonSeekfree=10.091450, SortExportsSeekfreeConstructor=0.046562, SortExportsSeekfreeInner=35.146133, SortExportsSeekfree=0.006009, BuildDependencyMap=0.287794, SerializeImportMap=0.030942, SerializeExportMap=0.168230, SerializeDependencyMap=0.034247, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.955743, SerializeExports=51.501476, SerializeBulkData=0.009615, MoveFile=1.944568, UnaccountedTime=1.548625, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
SavePackageTransactionId5EB665EE4A8380EF8FCE8AAB3A25AB50_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/RangeWeapon.uasset, AutoPackageBackupDelegate=2.854515, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.101537, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.145398, TagPackageExports=37.137566, BeginCacheForCookedPlatformData=0.005107, SerializeImports=37.112026, GatherLocalizableTextData=26.445892, MarkNames=0.143897, SerializeSummary=0.012919, SerializeNames=0.395644, SerializeGatherableTextData=0.297707, BuildExportMap=0.436198, SortExportsNonSeekfree=10.082438, SortExportsSeekfreeConstructor=0.042357, SortExportsSeekfreeInner=37.321415, SortExportsSeekfree=0.006910, BuildDependencyMap=0.614945, SerializeImportMap=0.032146, SerializeExportMap=0.167027, SerializeDependencyMap=0.033647, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.099872, SerializeExports=48.726566, SerializeBulkData=0.010815, MoveFile=2.655946, UnaccountedTime=1.888692, RunGuid=RunIDD3481A374C4E524A03AD718D1DF71195
