CookerStat, GenerateAssetRegistry=0.018630, Initialize=0.102453, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
DDCTransactionIdF0CD4ABD4E098D98CEE89E96DF8F29E5_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_45B0D64049A6B54F3__983716568AC3413B02673837936FCC5864E6959D, StartTime=2018.01.13-16.55.00, HierarchicalDDC=, DataSize=1605, Duration=2.056569, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
DDCTransactionId9411773F4457BC4897B9D4A13710E572_0, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_5271AFC34AEF3481AF34589620221588, StartTime=2018.01.13-16.55.11, HierarchicalDDC=, DataSize=170275, Duration=1.893126, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=17.317842, FlushAsyncLoading=0.006311, FlushStreamingFunc=0.129793, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.302851, TagPackageExports=12.362849, BeginCacheForCookedPlatformData=0.002105, SerializeImports=15.451457, GatherLocalizableTextData=11.188697, MarkNames=0.072706, SerializeSummary=0.013221, SerializeNames=0.322681, SerializeGatherableTextData=0.110265, BuildExportMap=0.295039, SortExportsNonSeekfree=3.824107, SortExportsSeekfreeConstructor=0.044167, SortExportsSeekfreeInner=16.732267, SortExportsSeekfree=0.003606, BuildDependencyMap=0.115972, SerializeImportMap=0.022233, SerializeExportMap=0.076015, SerializeDependencyMap=0.015624, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.323967, SerializeExports=19.633402, SerializeBulkData=0.019528, MoveFile=1.648862, UnaccountedTime=1.261581, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.471786, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.089832, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.146620, TagPackageExports=12.833652, BeginCacheForCookedPlatformData=0.002403, SerializeImports=15.293423, GatherLocalizableTextData=11.221145, MarkNames=0.073012, SerializeSummary=0.011716, SerializeNames=0.398096, SerializeGatherableTextData=0.514966, BuildExportMap=0.300448, SortExportsNonSeekfree=3.946692, SortExportsSeekfreeConstructor=0.057984, SortExportsSeekfreeInner=17.120150, SortExportsSeekfree=0.003304, BuildDependencyMap=0.118077, SerializeImportMap=0.019230, SerializeExportMap=0.073608, SerializeDependencyMap=0.028543, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.415303, SerializeExports=20.544958, SerializeBulkData=0.006311, MoveFile=3.076892, UnaccountedTime=1.409706, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto1.umap, AutoPackageBackupDelegate=427.535004, FlushAsyncLoading=0.027344, FlushStreamingFunc=0.182971, BlockTillAllRequestsFinished=0.006311, ResetLoadersForSaveUnMarkAllObjects=628.234802, TagPackageExports=2.361223, BeginCacheForCookedPlatformData=0.001505, SerializeImports=4.160006, GatherLocalizableTextData=25.542919, MarkNames=0.092238, SerializeSummary=0.012316, SerializeNames=0.507157, SerializeGatherableTextData=0.045370, BuildExportMap=0.561237, SortExportsNonSeekfree=1.172349, SortExportsSeekfreeConstructor=0.039358, SortExportsSeekfreeInner=22.334732, SortExportsSeekfree=0.003304, BuildDependencyMap=0.150222, SerializeImportMap=0.057984, SerializeExportMap=0.058290, SerializeDependencyMap=0.013523, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.478508, SerializeExports=14.079310, SerializeBulkData=1036.679321, MoveFile=1.901835, UnaccountedTime=0.255082, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=3.764920, FlushAsyncLoading=0.006307, FlushStreamingFunc=0.117779, BlockTillAllRequestsFinished=0.005405, ResetLoadersForSaveUnMarkAllObjects=0.155635, TagPackageExports=14.645956, BeginCacheForCookedPlatformData=0.003606, SerializeImports=14.089827, GatherLocalizableTextData=11.416737, MarkNames=0.070907, SerializeSummary=0.012618, SerializeNames=0.328388, SerializeGatherableTextData=0.093140, BuildExportMap=0.259887, SortExportsNonSeekfree=3.529370, SortExportsSeekfreeConstructor=0.039358, SortExportsSeekfreeInner=16.691107, SortExportsSeekfree=0.003304, BuildDependencyMap=0.109065, SerializeImportMap=0.018328, SerializeExportMap=0.130095, SerializeDependencyMap=0.028543, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.244949, SerializeExports=20.032394, SerializeBulkData=0.006910, MoveFile=2.968431, UnaccountedTime=1.567137, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=5.543273, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.130095, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.140909, TagPackageExports=13.021432, BeginCacheForCookedPlatformData=0.002403, SerializeImports=14.429033, GatherLocalizableTextData=11.207625, MarkNames=0.070907, SerializeSummary=0.011418, SerializeNames=0.309762, SerializeGatherableTextData=0.092838, BuildExportMap=0.271305, SortExportsNonSeekfree=3.390558, SortExportsSeekfreeConstructor=0.038758, SortExportsSeekfreeInner=17.657351, SortExportsSeekfree=0.018328, BuildDependencyMap=0.154130, SerializeImportMap=0.018928, SerializeExportMap=0.070907, SerializeDependencyMap=0.015922, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.177350, SerializeExports=20.191029, SerializeBulkData=0.019230, MoveFile=2.798975, UnaccountedTime=0.343714, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.549004, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.126489, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.174560, TagPackageExports=13.921876, BeginCacheForCookedPlatformData=0.002403, SerializeImports=14.426030, GatherLocalizableTextData=11.347331, MarkNames=0.075113, SerializeSummary=0.011418, SerializeNames=0.375260, SerializeGatherableTextData=0.077516, BuildExportMap=0.380367, SortExportsNonSeekfree=3.786851, SortExportsSeekfreeConstructor=0.039060, SortExportsSeekfreeInner=16.779438, SortExportsSeekfree=0.003606, BuildDependencyMap=0.115674, SerializeImportMap=0.018928, SerializeExportMap=0.075113, SerializeDependencyMap=0.016224, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.211299, SerializeExports=20.428385, SerializeBulkData=0.006311, MoveFile=1.623921, UnaccountedTime=1.248065, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=18.086090, FlushAsyncLoading=0.015024, FlushStreamingFunc=0.080820, BlockTillAllRequestsFinished=0.008110, ResetLoadersForSaveUnMarkAllObjects=65.126694, TagPackageExports=2.432432, BeginCacheForCookedPlatformData=0.001501, SerializeImports=3.937978, GatherLocalizableTextData=25.534805, MarkNames=0.089832, SerializeSummary=0.011720, SerializeNames=0.587076, SerializeGatherableTextData=0.050474, BuildExportMap=0.526987, SortExportsNonSeekfree=1.195483, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=22.609339, SortExportsSeekfree=0.004508, BuildDependencyMap=0.166450, SerializeImportMap=0.056785, SerializeExportMap=0.058290, SerializeDependencyMap=0.013523, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.472797, SerializeExports=14.581658, SerializeBulkData=1036.937988, MoveFile=3.950894, UnaccountedTime=1.290727, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=2.551708, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.175461, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=59.801842, TagPackageExports=2.942290, BeginCacheForCookedPlatformData=0.002403, SerializeImports=4.114039, GatherLocalizableTextData=25.373466, MarkNames=0.088330, SerializeSummary=0.012018, SerializeNames=0.531495, SerializeGatherableTextData=0.101849, BuildExportMap=0.543211, SortExportsNonSeekfree=1.298837, SortExportsSeekfreeConstructor=0.041164, SortExportsSeekfreeInner=23.522100, SortExportsSeekfree=0.004206, BuildDependencyMap=0.137303, SerializeImportMap=0.057686, SerializeExportMap=0.058286, SerializeDependencyMap=0.013519, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.580361, SerializeExports=16.260866, SerializeBulkData=1020.540771, MoveFile=3.172737, UnaccountedTime=0.238854, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=6.757084, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.097342, BlockTillAllRequestsFinished=0.005111, ResetLoadersForSaveUnMarkAllObjects=0.155330, TagPackageExports=14.269493, BeginCacheForCookedPlatformData=0.002705, SerializeImports=15.445750, GatherLocalizableTextData=11.661303, MarkNames=0.072107, SerializeSummary=0.013523, SerializeNames=0.374656, SerializeGatherableTextData=0.192888, BuildExportMap=0.258688, SortExportsNonSeekfree=3.823504, SortExportsSeekfreeConstructor=0.039060, SortExportsSeekfreeInner=18.701710, SortExportsSeekfree=0.003904, BuildDependencyMap=0.119280, SerializeImportMap=0.020131, SerializeExportMap=0.075713, SerializeDependencyMap=0.016525, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.895422, SerializeExports=23.059111, SerializeBulkData=0.006609, MoveFile=1.616713, UnaccountedTime=1.353219, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.445050, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.067599, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.169754, TagPackageExports=14.206100, BeginCacheForCookedPlatformData=0.002705, SerializeImports=16.555305, GatherLocalizableTextData=12.587883, MarkNames=0.076015, SerializeSummary=0.012018, SerializeNames=0.360537, SerializeGatherableTextData=0.200100, BuildExportMap=0.255983, SortExportsNonSeekfree=3.743585, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=18.408169, SortExportsSeekfree=0.003304, BuildDependencyMap=0.120781, SerializeImportMap=0.019532, SerializeExportMap=0.075411, SerializeDependencyMap=0.125889, SerializeStringAssetReferenceMap=0.002705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.116850, SerializeExports=22.614449, SerializeBulkData=0.006609, MoveFile=3.246345, UnaccountedTime=1.465887, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
SavePackageTransactionIdFBEEEEDA48B448B84E1187A191B1DC15_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.474193, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.187781, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.140909, TagPackageExports=15.255865, BeginCacheForCookedPlatformData=0.003304, SerializeImports=15.619110, GatherLocalizableTextData=12.329496, MarkNames=0.075415, SerializeSummary=0.010516, SerializeNames=0.310361, SerializeGatherableTextData=0.129495, BuildExportMap=0.336502, SortExportsNonSeekfree=3.969822, SortExportsSeekfreeConstructor=0.038460, SortExportsSeekfreeInner=18.815275, SortExportsSeekfree=0.003908, BuildDependencyMap=0.122283, SerializeImportMap=0.019830, SerializeExportMap=0.076912, SerializeDependencyMap=0.025537, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.318561, SerializeExports=22.352457, SerializeBulkData=0.006910, MoveFile=2.720561, UnaccountedTime=1.620620, RunGuid=RunIDCA888AEA41A3BF550345E9A7394990F0
