CookerStat, GenerateAssetRegistry=0.242494, Initialize=41.643909, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=434.478363, FlushAsyncLoading=0.027612, FlushStreamingFunc=0.182468, BlockTillAllRequestsFinished=0.009306, ResetLoadersForSaveUnMarkAllObjects=588.116089, TagPackageExports=2.623305, BeginCacheForCookedPlatformData=0.002101, SerializeImports=4.172191, GatherLocalizableTextData=25.343782, MarkNames=0.085533, SerializeSummary=0.015605, SerializeNames=0.572920, SerializeGatherableTextData=0.042316, BuildExportMap=0.457376, SortExportsNonSeekfree=1.439650, SortExportsSeekfreeConstructor=0.047415, SortExportsSeekfreeInner=22.989386, SortExportsSeekfree=0.006299, BuildDependencyMap=0.152159, SerializeImportMap=0.059124, SerializeExportMap=0.057019, SerializeDependencyMap=0.014104, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.642227, SerializeExports=14.300462, SerializeBulkData=1150.618286, MoveFile=4.380174, UnaccountedTime=0.264402, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=8.061979, FlushAsyncLoading=0.005402, FlushStreamingFunc=0.064824, BlockTillAllRequestsFinished=0.005104, ResetLoadersForSaveUnMarkAllObjects=0.167463, TagPackageExports=21.298538, BeginCacheForCookedPlatformData=0.002999, SerializeImports=23.990564, GatherLocalizableTextData=17.923750, MarkNames=0.102639, SerializeSummary=0.011701, SerializeNames=0.446573, SerializeGatherableTextData=0.372741, BuildExportMap=0.353236, SortExportsNonSeekfree=6.361831, SortExportsSeekfreeConstructor=0.048917, SortExportsSeekfreeInner=27.803522, SortExportsSeekfree=0.004802, BuildDependencyMap=0.186373, SerializeImportMap=0.022810, SerializeExportMap=0.114642, SerializeDependencyMap=0.021610, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.912892, SerializeExports=32.660881, SerializeBulkData=0.008401, MoveFile=1.513481, UnaccountedTime=1.319002, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=8.471638, FlushAsyncLoading=0.006601, FlushStreamingFunc=0.133250, BlockTillAllRequestsFinished=0.006601, ResetLoadersForSaveUnMarkAllObjects=0.220887, TagPackageExports=23.659840, BeginCacheForCookedPlatformData=0.003602, SerializeImports=23.843508, GatherLocalizableTextData=18.882010, MarkNames=0.108041, SerializeSummary=0.012305, SerializeNames=0.346635, SerializeGatherableTextData=0.165962, BuildExportMap=0.353537, SortExportsNonSeekfree=6.645135, SortExportsSeekfreeConstructor=0.042919, SortExportsSeekfreeInner=25.841068, SortExportsSeekfree=0.004504, BuildDependencyMap=0.195075, SerializeImportMap=0.024911, SerializeExportMap=0.124846, SerializeDependencyMap=0.024609, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.586668, SerializeExports=35.870903, SerializeBulkData=0.009604, MoveFile=2.423126, UnaccountedTime=1.425244, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto1.umap, AutoPackageBackupDelegate=24.791573, FlushAsyncLoading=0.011705, FlushStreamingFunc=0.131451, BlockTillAllRequestsFinished=0.005100, ResetLoadersForSaveUnMarkAllObjects=51.483768, TagPackageExports=2.529666, BeginCacheForCookedPlatformData=0.001803, SerializeImports=4.118472, GatherLocalizableTextData=26.080261, MarkNames=0.130251, SerializeSummary=0.013806, SerializeNames=0.691164, SerializeGatherableTextData=0.091534, BuildExportMap=0.620037, SortExportsNonSeekfree=1.186050, SortExportsSeekfreeConstructor=0.047121, SortExportsSeekfreeInner=23.135237, SortExportsSeekfree=0.005100, BuildDependencyMap=0.144657, SerializeImportMap=0.057623, SerializeExportMap=0.057321, SerializeDependencyMap=0.013206, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.524583, SerializeExports=15.947193, SerializeBulkData=1027.412476, MoveFile=2.040781, UnaccountedTime=0.269804, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.704635, FlushAsyncLoading=0.003301, FlushStreamingFunc=0.109240, BlockTillAllRequestsFinished=0.004500, ResetLoadersForSaveUnMarkAllObjects=0.142556, TagPackageExports=20.755630, BeginCacheForCookedPlatformData=0.003301, SerializeImports=25.762140, GatherLocalizableTextData=19.043774, MarkNames=0.101741, SerializeSummary=0.013202, SerializeNames=0.416260, SerializeGatherableTextData=0.220586, BuildExportMap=0.310019, SortExportsNonSeekfree=7.156532, SortExportsSeekfreeConstructor=0.040516, SortExportsSeekfreeInner=25.961117, SortExportsSeekfree=0.005104, BuildDependencyMap=0.192672, SerializeImportMap=0.024609, SerializeExportMap=0.216082, SerializeDependencyMap=0.025209, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.510740, SerializeExports=34.266491, SerializeBulkData=0.008103, MoveFile=1.749668, UnaccountedTime=1.431249, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.587587, FlushAsyncLoading=0.003301, FlushStreamingFunc=0.111643, BlockTillAllRequestsFinished=0.002701, ResetLoadersForSaveUnMarkAllObjects=0.138655, TagPackageExports=23.495972, BeginCacheForCookedPlatformData=0.003304, SerializeImports=24.728544, GatherLocalizableTextData=18.812988, MarkNames=0.105038, SerializeSummary=0.009604, SerializeNames=0.437867, SerializeGatherableTextData=0.161462, BuildExportMap=0.324424, SortExportsNonSeekfree=6.655644, SortExportsSeekfreeConstructor=0.039615, SortExportsSeekfreeInner=26.506424, SortExportsSeekfree=0.004202, BuildDependencyMap=0.196576, SerializeImportMap=0.023410, SerializeExportMap=0.163261, SerializeDependencyMap=0.024311, SerializeStringAssetReferenceMap=0.002999, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.668602, SerializeExports=33.681267, SerializeBulkData=0.008103, MoveFile=2.883203, UnaccountedTime=1.723558, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.771258, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.126947, BlockTillAllRequestsFinished=0.003602, ResetLoadersForSaveUnMarkAllObjects=0.143755, TagPackageExports=21.143377, BeginCacheForCookedPlatformData=0.004202, SerializeImports=26.317053, GatherLocalizableTextData=18.883814, MarkNames=0.102941, SerializeSummary=0.011705, SerializeNames=0.416856, SerializeGatherableTextData=0.160564, BuildExportMap=0.324722, SortExportsNonSeekfree=6.704863, SortExportsSeekfreeConstructor=0.041116, SortExportsSeekfreeInner=26.994110, SortExportsSeekfree=0.004504, BuildDependencyMap=0.191774, SerializeImportMap=0.024907, SerializeExportMap=0.122447, SerializeDependencyMap=0.025507, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.701314, SerializeExports=35.086704, SerializeBulkData=0.008404, MoveFile=1.656335, UnaccountedTime=1.398832, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=4.600756, FlushAsyncLoading=0.023112, FlushStreamingFunc=0.144355, BlockTillAllRequestsFinished=0.009302, ResetLoadersForSaveUnMarkAllObjects=0.220284, TagPackageExports=23.562603, BeginCacheForCookedPlatformData=0.003599, SerializeImports=24.176336, GatherLocalizableTextData=18.835194, MarkNames=0.102337, SerializeSummary=0.012305, SerializeNames=0.356238, SerializeGatherableTextData=0.321724, BuildExportMap=0.337627, SortExportsNonSeekfree=6.777790, SortExportsSeekfreeConstructor=0.041716, SortExportsSeekfreeInner=29.515375, SortExportsSeekfree=0.021610, BuildDependencyMap=0.223584, SerializeImportMap=0.024009, SerializeExportMap=0.141352, SerializeDependencyMap=0.025511, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.919497, SerializeExports=34.261688, SerializeBulkData=0.009604, MoveFile=3.101986, UnaccountedTime=1.694147, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=4.150882, FlushAsyncLoading=0.004802, FlushStreamingFunc=0.152461, BlockTillAllRequestsFinished=0.004500, ResetLoadersForSaveUnMarkAllObjects=0.150058, TagPackageExports=22.020910, BeginCacheForCookedPlatformData=0.003602, SerializeImports=25.185022, GatherLocalizableTextData=19.066881, MarkNames=0.106540, SerializeSummary=0.013508, SerializeNames=0.405155, SerializeGatherableTextData=0.176765, BuildExportMap=0.323225, SortExportsNonSeekfree=6.766085, SortExportsSeekfreeConstructor=0.045016, SortExportsSeekfreeInner=26.865963, SortExportsSeekfree=0.004504, BuildDependencyMap=0.192370, SerializeImportMap=0.024009, SerializeExportMap=0.117645, SerializeDependencyMap=0.024609, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.669202, SerializeExports=33.676464, SerializeBulkData=0.007801, MoveFile=1.869716, UnaccountedTime=1.354717, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=5.776309, FlushAsyncLoading=0.003599, FlushStreamingFunc=0.227489, BlockTillAllRequestsFinished=0.004500, ResetLoadersForSaveUnMarkAllObjects=0.147957, TagPackageExports=21.743607, BeginCacheForCookedPlatformData=0.002701, SerializeImports=24.286177, GatherLocalizableTextData=19.241850, MarkNames=0.105638, SerializeSummary=0.012606, SerializeNames=0.363439, SerializeGatherableTextData=0.288408, BuildExportMap=0.321425, SortExportsNonSeekfree=6.758582, SortExportsSeekfreeConstructor=0.043213, SortExportsSeekfreeInner=26.573353, SortExportsSeekfree=0.005104, BuildDependencyMap=0.252694, SerializeImportMap=0.022806, SerializeExportMap=0.117645, SerializeDependencyMap=0.025511, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.665000, SerializeExports=32.915371, SerializeBulkData=0.008706, MoveFile=3.357384, UnaccountedTime=1.652133, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
SavePackageTransactionId46D9725243E48CB97E20D79D35431FDC_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/MeleeWeapon.uasset, AutoPackageBackupDelegate=2.859194, FlushAsyncLoading=0.002701, FlushStreamingFunc=0.133850, BlockTillAllRequestsFinished=0.004802, ResetLoadersForSaveUnMarkAllObjects=0.146158, TagPackageExports=20.553350, BeginCacheForCookedPlatformData=0.003900, SerializeImports=24.918518, GatherLocalizableTextData=18.886816, MarkNames=0.106841, SerializeSummary=0.012603, SerializeNames=0.354137, SerializeGatherableTextData=0.224784, BuildExportMap=0.314221, SortExportsNonSeekfree=6.450065, SortExportsSeekfreeConstructor=0.090934, SortExportsSeekfreeInner=26.231520, SortExportsSeekfree=0.004504, BuildDependencyMap=0.188470, SerializeImportMap=0.023108, SerializeExportMap=0.117347, SerializeDependencyMap=0.024609, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.593270, SerializeExports=33.967880, SerializeBulkData=0.008702, MoveFile=1.636524, UnaccountedTime=1.346916, RunGuid=RunID9E351F704B127E2CEDCC99AFD2BFAEE1
