CookerStat, GenerateAssetRegistry=0.016827, Initialize=0.089232, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Box.uasset, AutoPackageBackupDelegate=8.641973, FlushAsyncLoading=0.006307, FlushStreamingFunc=0.119884, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.367153, TagPackageExports=4.442521, BeginCacheForCookedPlatformData=0.001501, SerializeImports=5.463768, GatherLocalizableTextData=7.503849, MarkNames=0.066701, SerializeSummary=0.015024, SerializeNames=0.308566, SerializeGatherableTextData=0.074815, BuildExportMap=0.222635, SortExportsNonSeekfree=1.391105, SortExportsSeekfreeConstructor=0.079021, SortExportsSeekfreeInner=8.796405, SortExportsSeekfree=0.005107, BuildDependencyMap=0.085328, SerializeImportMap=0.015624, SerializeExportMap=0.040863, SerializeDependencyMap=0.021633, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.746706, SerializeExports=7.589180, SerializeBulkData=0.011418, MoveFile=1.358353, UnaccountedTime=1.369473, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=57.162971, FlushAsyncLoading=0.009313, FlushStreamingFunc=0.184778, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=0.237960, TagPackageExports=43.732655, BeginCacheForCookedPlatformData=0.003003, SerializeImports=48.584995, GatherLocalizableTextData=33.638885, MarkNames=0.206113, SerializeSummary=0.013217, SerializeNames=0.442870, SerializeGatherableTextData=0.286333, BuildExportMap=0.323292, SortExportsNonSeekfree=10.326921, SortExportsSeekfreeConstructor=0.048671, SortExportsSeekfreeInner=45.228016, SortExportsSeekfree=0.004508, BuildDependencyMap=0.321187, SerializeImportMap=0.021029, SerializeExportMap=0.193793, SerializeDependencyMap=0.041161, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.036133, SerializeExports=59.140560, SerializeBulkData=0.008415, MoveFile=1.754053, UnaccountedTime=1.543436, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=2.951965, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.120480, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.172760, TagPackageExports=42.988430, BeginCacheForCookedPlatformData=0.003904, SerializeImports=47.504559, GatherLocalizableTextData=31.685631, MarkNames=0.170957, SerializeSummary=0.012022, SerializeNames=0.394497, SerializeGatherableTextData=0.293240, BuildExportMap=0.365354, SortExportsNonSeekfree=10.483761, SortExportsSeekfreeConstructor=0.041462, SortExportsSeekfreeInner=45.886009, SortExportsSeekfree=0.004508, BuildDependencyMap=1.228858, SerializeImportMap=0.020429, SerializeExportMap=0.193495, SerializeDependencyMap=0.054982, SerializeStringAssetReferenceMap=0.002705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.823324, SerializeExports=63.232452, SerializeBulkData=0.007510, MoveFile=2.694476, UnaccountedTime=1.588803, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto1.umap, AutoPackageBackupDelegate=266.123657, FlushAsyncLoading=0.024036, FlushStreamingFunc=0.146322, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=585.602661, TagPackageExports=2.428275, BeginCacheForCookedPlatformData=0.001803, SerializeImports=4.086182, GatherLocalizableTextData=27.376213, MarkNames=0.124387, SerializeSummary=0.013221, SerializeNames=0.528798, SerializeGatherableTextData=0.043266, BuildExportMap=0.501160, SortExportsNonSeekfree=1.166064, SortExportsSeekfreeConstructor=0.043865, SortExportsSeekfreeInner=23.350122, SortExportsSeekfree=0.002701, BuildDependencyMap=0.139114, SerializeImportMap=0.073012, SerializeExportMap=0.060692, SerializeDependencyMap=0.030044, SerializeStringAssetReferenceMap=0.003006, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.528412, SerializeExports=14.747206, SerializeBulkData=1266.870605, MoveFile=2.668034, UnaccountedTime=0.262599, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=6.011795, FlushAsyncLoading=0.005707, FlushStreamingFunc=0.196200, BlockTillAllRequestsFinished=0.005405, ResetLoadersForSaveUnMarkAllObjects=0.152331, TagPackageExports=46.830040, BeginCacheForCookedPlatformData=0.003606, SerializeImports=48.658905, GatherLocalizableTextData=32.218639, MarkNames=0.161946, SerializeSummary=0.012919, SerializeNames=0.394795, SerializeGatherableTextData=0.293244, BuildExportMap=0.317581, SortExportsNonSeekfree=10.204036, SortExportsSeekfreeConstructor=0.043266, SortExportsSeekfreeInner=41.511395, SortExportsSeekfree=0.004508, BuildDependencyMap=1.276329, SerializeImportMap=0.020429, SerializeExportMap=0.193194, SerializeDependencyMap=0.057388, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.900025, SerializeExports=63.130898, SerializeBulkData=0.008114, MoveFile=2.899084, UnaccountedTime=1.658510, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=2.846807, FlushAsyncLoading=0.002701, FlushStreamingFunc=0.080522, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.169158, TagPackageExports=43.081268, BeginCacheForCookedPlatformData=0.003003, SerializeImports=47.781281, GatherLocalizableTextData=31.885429, MarkNames=0.168554, SerializeSummary=0.012022, SerializeNames=0.362646, SerializeGatherableTextData=0.325091, BuildExportMap=0.326898, SortExportsNonSeekfree=10.321211, SortExportsSeekfreeConstructor=0.010215, SortExportsSeekfreeInner=46.077103, SortExportsSeekfree=0.004508, BuildDependencyMap=1.228258, SerializeImportMap=0.020731, SerializeExportMap=0.225943, SerializeDependencyMap=0.061292, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.934879, SerializeExports=63.394394, SerializeBulkData=0.008114, MoveFile=2.345346, UnaccountedTime=1.544036, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=6.832637, FlushAsyncLoading=0.003904, FlushStreamingFunc=0.132203, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.149924, TagPackageExports=42.805752, BeginCacheForCookedPlatformData=0.003908, SerializeImports=47.393089, GatherLocalizableTextData=31.668205, MarkNames=0.216026, SerializeSummary=0.012621, SerializeNames=0.385784, SerializeGatherableTextData=0.342816, BuildExportMap=0.483133, SortExportsNonSeekfree=10.261722, SortExportsSeekfreeConstructor=0.045668, SortExportsSeekfreeInner=44.298409, SortExportsSeekfree=0.004809, BuildDependencyMap=1.229759, SerializeImportMap=0.036955, SerializeExportMap=0.202507, SerializeDependencyMap=0.044167, SerializeStringAssetReferenceMap=0.002705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.311044, SerializeExports=62.037849, SerializeBulkData=0.008412, MoveFile=2.571289, UnaccountedTime=0.431452, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=27.626492, FlushAsyncLoading=0.009615, FlushStreamingFunc=0.080220, BlockTillAllRequestsFinished=0.007212, ResetLoadersForSaveUnMarkAllObjects=0.178169, TagPackageExports=19.071951, BeginCacheForCookedPlatformData=0.003602, SerializeImports=20.567917, GatherLocalizableTextData=15.938208, MarkNames=0.103958, SerializeSummary=0.026140, SerializeNames=0.315174, SerializeGatherableTextData=0.177268, BuildExportMap=0.230752, SortExportsNonSeekfree=4.633907, SortExportsSeekfreeConstructor=0.040263, SortExportsSeekfreeInner=21.034819, SortExportsSeekfree=0.006009, BuildDependencyMap=0.171859, SerializeImportMap=0.017125, SerializeExportMap=0.103358, SerializeDependencyMap=0.021033, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.192332, SerializeExports=26.153662, SerializeBulkData=0.009313, MoveFile=6.489515, UnaccountedTime=1.446389, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto2.umap, AutoPackageBackupDelegate=20.181227, FlushAsyncLoading=0.014123, FlushStreamingFunc=0.063997, BlockTillAllRequestsFinished=0.007212, ResetLoadersForSaveUnMarkAllObjects=53.543995, TagPackageExports=3.626186, BeginCacheForCookedPlatformData=0.005707, SerializeImports=4.386637, GatherLocalizableTextData=27.485878, MarkNames=0.151128, SerializeSummary=0.014123, SerializeNames=0.536311, SerializeGatherableTextData=0.042364, BuildExportMap=0.518285, SortExportsNonSeekfree=1.186494, SortExportsSeekfreeConstructor=0.041462, SortExportsSeekfreeInner=27.046614, SortExportsSeekfree=0.003606, BuildDependencyMap=0.145119, SerializeImportMap=0.057988, SerializeExportMap=0.058889, SerializeDependencyMap=0.015024, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.782294, SerializeExports=14.850263, SerializeBulkData=1239.195435, MoveFile=2.112195, UnaccountedTime=0.249676, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/StorageItem.uasset, AutoPackageBackupDelegate=4.557293, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.177868, BlockTillAllRequestsFinished=0.005707, ResetLoadersForSaveUnMarkAllObjects=0.164650, TagPackageExports=19.028082, BeginCacheForCookedPlatformData=0.004806, SerializeImports=20.246729, GatherLocalizableTextData=16.116678, MarkNames=0.115976, SerializeSummary=0.025541, SerializeNames=0.335004, SerializeGatherableTextData=0.128895, BuildExportMap=0.231650, SortExportsNonSeekfree=4.587341, SortExportsSeekfreeConstructor=0.043266, SortExportsSeekfreeInner=21.271877, SortExportsSeekfree=0.006910, BuildDependencyMap=0.178769, SerializeImportMap=0.018027, SerializeExportMap=0.103358, SerializeDependencyMap=0.033051, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.121123, SerializeExports=27.298391, SerializeBulkData=0.009917, MoveFile=2.642796, UnaccountedTime=0.304662, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
SavePackageTransactionIdC3A285704DAB6D51D44BE7AFA7C0EB83_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Ladder.uasset, AutoPackageBackupDelegate=0.111468, FlushAsyncLoading=0.003308, FlushStreamingFunc=0.079621, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.172459, TagPackageExports=0.703063, BeginCacheForCookedPlatformData=0.001803, SerializeImports=1.510385, GatherLocalizableTextData=0.991199, MarkNames=0.012618, SerializeSummary=0.010818, SerializeNames=0.066098, SerializeGatherableTextData=0.004809, BuildExportMap=0.041462, SortExportsNonSeekfree=0.063997, SortExportsSeekfreeConstructor=0.041161, SortExportsSeekfreeInner=2.841398, SortExportsSeekfree=0.003304, BuildDependencyMap=0.014123, SerializeImportMap=0.007212, SerializeExportMap=0.008412, SerializeDependencyMap=0.002403, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.299542, SerializeExports=1.259807, SerializeBulkData=0.005107, MoveFile=1.195509, UnaccountedTime=1.572277, RunGuid=RunIDC877C346459A6E0D6F81E38B3B084BC1
