CookerStat, GenerateAssetRegistry=0.019528, Initialize=0.106357, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=6.448205, FlushAsyncLoading=0.006009, FlushStreamingFunc=0.130393, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.374358, TagPackageExports=85.865181, BeginCacheForCookedPlatformData=0.005707, SerializeImports=87.712029, GatherLocalizableTextData=63.599018, MarkNames=0.477713, SerializeSummary=0.017725, SerializeNames=0.747215, SerializeGatherableTextData=0.601195, BuildExportMap=0.870697, SortExportsNonSeekfree=26.011240, SortExportsSeekfreeConstructor=0.063691, SortExportsSeekfreeInner=100.510788, SortExportsSeekfree=0.007212, BuildDependencyMap=0.679310, SerializeImportMap=0.047170, SerializeExportMap=0.370454, SerializeDependencyMap=0.076916, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.203669, SerializeExports=116.641518, SerializeBulkData=0.019528, MoveFile=3.153496, UnaccountedTime=1.749806, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.612092, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.162542, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.177264, TagPackageExports=84.876404, BeginCacheForCookedPlatformData=0.005711, SerializeImports=87.925049, GatherLocalizableTextData=62.377094, MarkNames=0.502951, SerializeSummary=0.015624, SerializeNames=0.769746, SerializeGatherableTextData=0.549518, BuildExportMap=0.850268, SortExportsNonSeekfree=27.374369, SortExportsSeekfreeConstructor=0.078116, SortExportsSeekfreeInner=102.606712, SortExportsSeekfree=0.006307, BuildDependencyMap=0.723779, SerializeImportMap=0.048071, SerializeExportMap=0.371654, SerializeDependencyMap=0.129189, SerializeStringAssetReferenceMap=0.002407, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.983963, SerializeExports=114.480995, SerializeBulkData=0.008412, MoveFile=2.668876, UnaccountedTime=1.918055, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.564620, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.122279, BlockTillAllRequestsFinished=0.003308, ResetLoadersForSaveUnMarkAllObjects=0.137001, TagPackageExports=83.182182, BeginCacheForCookedPlatformData=0.005409, SerializeImports=85.147713, GatherLocalizableTextData=62.777290, MarkNames=0.423029, SerializeSummary=0.016227, SerializeNames=0.773050, SerializeGatherableTextData=0.606000, BuildExportMap=0.845160, SortExportsNonSeekfree=26.459806, SortExportsSeekfreeConstructor=0.059791, SortExportsSeekfreeInner=103.491531, SortExportsSeekfree=0.006609, BuildDependencyMap=0.774555, SerializeImportMap=0.047471, SerializeExportMap=0.464492, SerializeDependencyMap=0.076313, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.839447, SerializeExports=111.388191, SerializeBulkData=0.009313, MoveFile=2.253354, UnaccountedTime=1.964025, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.637029, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.088330, BlockTillAllRequestsFinished=0.002403, ResetLoadersForSaveUnMarkAllObjects=0.154432, TagPackageExports=86.834724, BeginCacheForCookedPlatformData=0.005409, SerializeImports=88.447823, GatherLocalizableTextData=62.133133, MarkNames=0.455778, SerializeSummary=0.016227, SerializeNames=0.779659, SerializeGatherableTextData=0.553425, BuildExportMap=0.926279, SortExportsNonSeekfree=26.442383, SortExportsSeekfreeConstructor=0.060391, SortExportsSeekfreeInner=103.794083, SortExportsSeekfree=0.006609, BuildDependencyMap=0.728287, SerializeImportMap=0.045367, SerializeExportMap=0.415519, SerializeDependencyMap=0.076316, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.588654, SerializeExports=116.657738, SerializeBulkData=0.009015, MoveFile=2.665870, UnaccountedTime=2.052058, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.306724, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.137005, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.179369, TagPackageExports=82.887741, BeginCacheForCookedPlatformData=0.006311, SerializeImports=91.186401, GatherLocalizableTextData=62.523716, MarkNames=0.420626, SerializeSummary=0.015926, SerializeNames=0.761632, SerializeGatherableTextData=0.537503, BuildExportMap=0.919670, SortExportsNonSeekfree=26.458603, SortExportsSeekfreeConstructor=0.057086, SortExportsSeekfreeInner=102.815521, SortExportsSeekfree=0.006307, BuildDependencyMap=0.651974, SerializeImportMap=0.046566, SerializeExportMap=0.376761, SerializeDependencyMap=0.075411, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.193928, SerializeExports=118.571892, SerializeBulkData=0.009015, MoveFile=14.349073, UnaccountedTime=1.970936, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.860530, FlushAsyncLoading=0.007812, FlushStreamingFunc=0.147216, BlockTillAllRequestsFinished=0.005711, ResetLoadersForSaveUnMarkAllObjects=0.204302, TagPackageExports=84.281219, BeginCacheForCookedPlatformData=0.005707, SerializeImports=90.041397, GatherLocalizableTextData=62.783005, MarkNames=0.413116, SerializeSummary=0.016823, SerializeNames=0.776358, SerializeGatherableTextData=0.646260, BuildExportMap=0.836447, SortExportsNonSeekfree=27.542919, SortExportsSeekfreeConstructor=0.057686, SortExportsSeekfreeInner=105.864761, SortExportsSeekfree=0.007212, BuildDependencyMap=0.756528, SerializeImportMap=0.048071, SerializeExportMap=0.400197, SerializeDependencyMap=0.819020, SerializeStringAssetReferenceMap=0.004206, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.002068, SerializeExports=117.988419, SerializeBulkData=0.010818, MoveFile=3.324147, UnaccountedTime=1.766331, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=191.220978, FlushAsyncLoading=0.012919, FlushStreamingFunc=0.055883, BlockTillAllRequestsFinished=0.006910, ResetLoadersForSaveUnMarkAllObjects=615.914856, TagPackageExports=2.761412, BeginCacheForCookedPlatformData=0.001505, SerializeImports=4.143771, GatherLocalizableTextData=26.836266, MarkNames=0.119280, SerializeSummary=0.013217, SerializeNames=0.579264, SerializeGatherableTextData=0.045668, BuildExportMap=0.484921, SortExportsNonSeekfree=1.249563, SortExportsSeekfreeConstructor=0.076614, SortExportsSeekfreeInner=24.395731, SortExportsSeekfree=0.005711, BuildDependencyMap=0.153229, SerializeImportMap=0.059191, SerializeExportMap=0.058886, SerializeDependencyMap=0.017725, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.615208, SerializeExports=15.180707, SerializeBulkData=1038.706299, MoveFile=4.471559, UnaccountedTime=1.406394, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.194958, FlushAsyncLoading=0.003908, FlushStreamingFunc=0.140909, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.144515, TagPackageExports=80.567383, BeginCacheForCookedPlatformData=0.006311, SerializeImports=89.095291, GatherLocalizableTextData=62.845795, MarkNames=0.467196, SerializeSummary=0.015620, SerializeNames=0.780564, SerializeGatherableTextData=0.581365, BuildExportMap=0.954222, SortExportsNonSeekfree=27.305267, SortExportsSeekfreeConstructor=0.082321, SortExportsSeekfreeInner=102.149734, SortExportsSeekfree=0.006910, BuildDependencyMap=0.715666, SerializeImportMap=0.048373, SerializeExportMap=0.424530, SerializeDependencyMap=0.079017, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.465693, SerializeExports=119.689552, SerializeBulkData=0.009015, MoveFile=2.586253, UnaccountedTime=1.869384, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.587154, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.181168, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.188682, TagPackageExports=83.832649, BeginCacheForCookedPlatformData=0.005409, SerializeImports=86.958511, GatherLocalizableTextData=62.935326, MarkNames=0.423033, SerializeSummary=0.015922, SerializeNames=0.764038, SerializeGatherableTextData=0.581067, BuildExportMap=0.861082, SortExportsNonSeekfree=26.727203, SortExportsSeekfreeConstructor=0.061292, SortExportsSeekfreeInner=106.096710, SortExportsSeekfree=0.006612, BuildDependencyMap=0.706650, SerializeImportMap=0.046872, SerializeExportMap=0.373755, SerializeDependencyMap=0.081722, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.847858, SerializeExports=110.187302, SerializeBulkData=0.009011, MoveFile=2.754804, UnaccountedTime=2.131373, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.541486, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.086833, BlockTillAllRequestsFinished=0.003602, ResetLoadersForSaveUnMarkAllObjects=0.139408, TagPackageExports=87.447334, BeginCacheForCookedPlatformData=0.005711, SerializeImports=91.229370, GatherLocalizableTextData=63.734219, MarkNames=0.464793, SerializeSummary=0.016823, SerializeNames=0.708155, SerializeGatherableTextData=0.612911, BuildExportMap=0.883918, SortExportsNonSeekfree=27.593996, SortExportsSeekfreeConstructor=0.059489, SortExportsSeekfreeInner=106.299812, SortExportsSeekfree=0.006910, BuildDependencyMap=1.840543, SerializeImportMap=0.047170, SerializeExportMap=0.408608, SerializeDependencyMap=0.076916, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.782063, SerializeExports=119.040588, SerializeBulkData=0.010215, MoveFile=3.348790, UnaccountedTime=1.820412, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
SavePackageTransactionId11885C704D092D5E21E644995919B864_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.783645, FlushAsyncLoading=0.003908, FlushStreamingFunc=0.106055, BlockTillAllRequestsFinished=0.004210, ResetLoadersForSaveUnMarkAllObjects=0.149921, TagPackageExports=84.614113, BeginCacheForCookedPlatformData=0.006009, SerializeImports=89.580818, GatherLocalizableTextData=63.678337, MarkNames=0.441656, SerializeSummary=0.016525, SerializeNames=0.768244, SerializeGatherableTextData=0.655279, BuildExportMap=0.891127, SortExportsNonSeekfree=26.845881, SortExportsSeekfreeConstructor=0.013821, SortExportsSeekfreeInner=106.114433, SortExportsSeekfree=0.006910, BuildDependencyMap=1.501638, SerializeImportMap=0.048373, SerializeExportMap=0.376161, SerializeDependencyMap=0.110865, SerializeStringAssetReferenceMap=0.004806, SaveThumbNailsAssetRegistryDataWorldLevelInfo=14.199149, SerializeExports=110.416245, SerializeBulkData=0.009313, MoveFile=2.682693, UnaccountedTime=2.198376, RunGuid=RunIDFDFC32EA41E296A926A3619128E241FA
