CookerStat, GenerateAssetRegistry=0.039659, Initialize=0.175465, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=172.543045, FlushAsyncLoading=0.015926, FlushStreamingFunc=0.181172, BlockTillAllRequestsFinished=0.006612, ResetLoadersForSaveUnMarkAllObjects=523.422241, TagPackageExports=2.493486, BeginCacheForCookedPlatformData=0.001501, SerializeImports=4.108142, GatherLocalizableTextData=25.432423, MarkNames=0.140011, SerializeSummary=0.015024, SerializeNames=0.579581, SerializeGatherableTextData=0.043567, BuildExportMap=0.545025, SortExportsNonSeekfree=1.132723, SortExportsSeekfreeConstructor=0.047769, SortExportsSeekfreeInner=23.318716, SortExportsSeekfree=0.003908, BuildDependencyMap=0.134602, SerializeImportMap=0.059191, SerializeExportMap=0.058290, SerializeDependencyMap=0.013821, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.508892, SerializeExports=14.726266, SerializeBulkData=1039.435791, MoveFile=3.365710, UnaccountedTime=0.249680, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=25.596775, FlushAsyncLoading=0.033047, FlushStreamingFunc=0.176068, BlockTillAllRequestsFinished=0.006311, ResetLoadersForSaveUnMarkAllObjects=0.175465, TagPackageExports=87.774704, BeginCacheForCookedPlatformData=0.005405, SerializeImports=92.015945, GatherLocalizableTextData=60.582809, MarkNames=0.339214, SerializeSummary=0.014722, SerializeNames=0.828058, SerializeGatherableTextData=0.602715, BuildExportMap=0.879437, SortExportsNonSeekfree=27.105965, SortExportsSeekfreeConstructor=0.050176, SortExportsSeekfreeInner=106.224220, SortExportsSeekfree=0.006609, BuildDependencyMap=1.740545, SerializeImportMap=0.046570, SerializeExportMap=0.427250, SerializeDependencyMap=0.077516, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.038933, SerializeExports=118.913094, SerializeBulkData=0.009917, MoveFile=1.849309, UnaccountedTime=1.796126, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=1.963783, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.153832, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.146322, TagPackageExports=84.231422, BeginCacheForCookedPlatformData=0.005405, SerializeImports=90.913574, GatherLocalizableTextData=64.028137, MarkNames=0.406519, SerializeSummary=0.014722, SerializeNames=0.746932, SerializeGatherableTextData=0.534210, BuildExportMap=1.714107, SortExportsNonSeekfree=27.551842, SortExportsSeekfreeConstructor=0.052880, SortExportsSeekfreeInner=105.033516, SortExportsSeekfree=0.007212, BuildDependencyMap=1.719814, SerializeImportMap=0.044767, SerializeExportMap=0.378277, SerializeDependencyMap=0.109065, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.328653, SerializeExports=113.119995, SerializeBulkData=0.010215, MoveFile=2.793040, UnaccountedTime=1.866735, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.407475, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.178769, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.149325, TagPackageExports=84.680603, BeginCacheForCookedPlatformData=0.006013, SerializeImports=91.391891, GatherLocalizableTextData=64.207809, MarkNames=0.405919, SerializeSummary=0.016823, SerializeNames=0.723500, SerializeGatherableTextData=0.539020, BuildExportMap=0.924204, SortExportsNonSeekfree=27.519394, SortExportsSeekfreeConstructor=0.058889, SortExportsSeekfreeInner=106.487122, SortExportsSeekfree=0.050176, BuildDependencyMap=2.014261, SerializeImportMap=0.069104, SerializeExportMap=0.393897, SerializeDependencyMap=0.079624, SerializeStringAssetReferenceMap=0.001799, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.163923, SerializeExports=119.253212, SerializeBulkData=0.010818, MoveFile=3.002759, UnaccountedTime=1.926828, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.070962, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.099149, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.136707, TagPackageExports=85.703659, BeginCacheForCookedPlatformData=0.005711, SerializeImports=89.621605, GatherLocalizableTextData=62.869282, MarkNames=0.402912, SerializeSummary=0.015624, SerializeNames=0.820845, SerializeGatherableTextData=0.513181, BuildExportMap=0.885744, SortExportsNonSeekfree=27.595407, SortExportsSeekfreeConstructor=0.051077, SortExportsSeekfreeInner=104.235504, SortExportsSeekfree=0.007212, BuildDependencyMap=0.742424, SerializeImportMap=0.044469, SerializeExportMap=0.397503, SerializeDependencyMap=0.117477, SerializeStringAssetReferenceMap=0.004508, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.654951, SerializeExports=112.856194, SerializeBulkData=0.010215, MoveFile=2.635002, UnaccountedTime=1.838189, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=1.938544, FlushAsyncLoading=0.003606, FlushStreamingFunc=0.100050, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.140015, TagPackageExports=83.787651, BeginCacheForCookedPlatformData=0.005409, SerializeImports=91.128395, GatherLocalizableTextData=63.409801, MarkNames=0.504468, SerializeSummary=0.015624, SerializeNames=0.729207, SerializeGatherableTextData=0.575073, BuildExportMap=0.881840, SortExportsNonSeekfree=28.183100, SortExportsSeekfreeConstructor=0.012022, SortExportsSeekfreeInner=105.566818, SortExportsSeekfree=0.006910, BuildDependencyMap=1.543745, SerializeImportMap=0.046872, SerializeExportMap=0.441071, SerializeDependencyMap=0.081424, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.653720, SerializeExports=117.497940, SerializeBulkData=0.010215, MoveFile=3.138267, UnaccountedTime=0.711780, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.214361, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.033952, BlockTillAllRequestsFinished=0.003304, ResetLoadersForSaveUnMarkAllObjects=0.148423, TagPackageExports=90.748619, BeginCacheForCookedPlatformData=0.005409, SerializeImports=94.070465, GatherLocalizableTextData=64.854996, MarkNames=0.371065, SerializeSummary=0.015624, SerializeNames=0.735816, SerializeGatherableTextData=0.636067, BuildExportMap=0.913989, SortExportsNonSeekfree=28.614256, SortExportsSeekfreeConstructor=0.051379, SortExportsSeekfreeInner=108.320206, SortExportsSeekfree=0.006311, BuildDependencyMap=1.687963, SerializeImportMap=0.077516, SerializeExportMap=0.415534, SerializeDependencyMap=0.093441, SerializeStringAssetReferenceMap=0.003006, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.157310, SerializeExports=124.563774, SerializeBulkData=0.011116, MoveFile=3.020786, UnaccountedTime=2.423782, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.693728, FlushAsyncLoading=0.005409, FlushStreamingFunc=0.173062, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.238564, TagPackageExports=87.430679, BeginCacheForCookedPlatformData=0.006009, SerializeImports=91.937531, GatherLocalizableTextData=64.144119, MarkNames=0.405915, SerializeSummary=0.016823, SerializeNames=0.713285, SerializeGatherableTextData=0.598207, BuildExportMap=0.865314, SortExportsNonSeekfree=30.249640, SortExportsSeekfreeConstructor=0.049878, SortExportsSeekfreeInner=106.636444, SortExportsSeekfree=0.006910, BuildDependencyMap=1.756169, SerializeImportMap=0.047475, SerializeExportMap=0.468411, SerializeDependencyMap=0.096146, SerializeStringAssetReferenceMap=0.002705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.013094, SerializeExports=125.739761, SerializeBulkData=0.010513, MoveFile=3.313433, UnaccountedTime=1.776297, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=6.523807, FlushAsyncLoading=0.007510, FlushStreamingFunc=0.056487, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.162549, TagPackageExports=92.973198, BeginCacheForCookedPlatformData=0.006009, SerializeImports=97.088249, GatherLocalizableTextData=66.935959, MarkNames=0.377372, SerializeSummary=0.016827, SerializeNames=0.815440, SerializeGatherableTextData=1.119196, BuildExportMap=0.916995, SortExportsNonSeekfree=28.868143, SortExportsSeekfreeConstructor=0.052579, SortExportsSeekfreeInner=112.878731, SortExportsSeekfree=0.007212, BuildDependencyMap=1.889870, SerializeImportMap=0.046570, SerializeExportMap=0.450384, SerializeDependencyMap=0.099752, SerializeStringAssetReferenceMap=0.003003, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.500055, SerializeExports=126.426605, SerializeBulkData=0.010516, MoveFile=3.209774, UnaccountedTime=2.015162, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/EquipCpomponent.uasset, AutoPackageBackupDelegate=38.459908, FlushAsyncLoading=0.029445, FlushStreamingFunc=0.148125, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=0.241864, TagPackageExports=13.691195, BeginCacheForCookedPlatformData=0.002403, SerializeImports=14.965128, GatherLocalizableTextData=9.519055, MarkNames=0.050176, SerializeSummary=0.009917, SerializeNames=0.197701, SerializeGatherableTextData=0.160441, BuildExportMap=0.138812, SortExportsNonSeekfree=2.546366, SortExportsSeekfreeConstructor=0.041164, SortExportsSeekfreeInner=14.270771, SortExportsSeekfree=0.003308, BuildDependencyMap=0.102755, SerializeImportMap=0.012320, SerializeExportMap=0.062495, SerializeDependencyMap=0.013821, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.903690, SerializeExports=19.517340, SerializeBulkData=0.007212, MoveFile=3.231104, UnaccountedTime=1.609847, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
SavePackageTransactionId67EF4A2E4BE69E4B7D565D9E97AA19FF_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.093034, FlushAsyncLoading=0.010815, FlushStreamingFunc=0.213627, BlockTillAllRequestsFinished=0.007212, ResetLoadersForSaveUnMarkAllObjects=0.275515, TagPackageExports=93.071449, BeginCacheForCookedPlatformData=0.006311, SerializeImports=94.678589, GatherLocalizableTextData=65.897881, MarkNames=0.384584, SerializeSummary=0.015926, SerializeNames=0.761956, SerializeGatherableTextData=0.605419, BuildExportMap=0.816342, SortExportsNonSeekfree=28.348352, SortExportsSeekfreeConstructor=0.049874, SortExportsSeekfreeInner=110.600967, SortExportsSeekfree=0.006311, BuildDependencyMap=1.928028, SerializeImportMap=0.058286, SerializeExportMap=0.399008, SerializeDependencyMap=0.090439, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.373781, SerializeExports=128.045166, SerializeBulkData=0.029147, MoveFile=2.632298, UnaccountedTime=1.793724, RunGuid=RunIDC19DAE964CDCD9AEF294B4B1BD29CADC
