CookerStat, GenerateAssetRegistry=0.021033, Initialize=0.109665, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionId1E3D70444D05071CDB4468A015A1DDAC_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F5__6FAD39D5B1C3B4E3C76F71202365BA20834FF303, StartTime=2018.01.23-08.57.46, HierarchicalDDC=, DataSize=199365, Duration=2.225742, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionIdC1D2A6FB42622F654761148D5FCEB6FF_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90E0FFAE4AEDD743AB917898E51BB4B__3B55A9E74630D932D480D24DFD99BDCC267079D5, StartTime=2018.01.23-08.57.46, HierarchicalDDC=, DataSize=61786, Duration=1.572859, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionIdCBD8BD2844F6979B4B26CB9020995F1B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5762C05C4D15795711289EA7F402821__A08D197D187646B5020A08EB62370CFE58A0A23C, StartTime=2018.01.23-08.57.46, HierarchicalDDC=, DataSize=64472, Duration=1.736306, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionId1E3D70444D05071CDB4468A015A1DDAC_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EF9F38D14DAB4A7C787CC6B1CDCEB08__BB2C0B22111984BF382267AAD1E2C1DF0D320540, StartTime=2018.01.23-08.57.46, HierarchicalDDC=, DataSize=64472, Duration=1.646772, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Components/Weapon_Meshs/Rapire_1_Auto1.uasset, AutoPackageBackupDelegate=4.004411, FlushAsyncLoading=0.029445, FlushStreamingFunc=0.186279, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.430845, TagPackageExports=0.021029, BeginCacheForCookedPlatformData=0.001203, SerializeImports=0.699751, GatherLocalizableTextData=0.162844, MarkNames=0.005405, SerializeSummary=0.010516, SerializeNames=0.045370, SerializeGatherableTextData=0.001200, BuildExportMap=0.013523, SortExportsNonSeekfree=0.007510, SortExportsSeekfreeConstructor=0.048071, SortExportsSeekfreeInner=0.399601, SortExportsSeekfree=0.002403, BuildDependencyMap=0.007212, SerializeImportMap=0.007812, SerializeExportMap=0.004504, SerializeDependencyMap=0.000902, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.572267, SerializeExports=0.308864, SerializeBulkData=0.161644, MoveFile=1.439761, UnaccountedTime=0.173662, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionId1E3D70444D05071CDB4468A015A1DDAC_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_58__8B156B01EA9B8F4D962F9E5FDCACE32B77FCD3F0, StartTime=2018.01.23-08.58.38, HierarchicalDDC=, DataSize=199365, Duration=1.711067, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionIdC1D2A6FB42622F654761148D5FCEB6FF_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_72C724EF483B4FB44C94F7A8261AB15__CC84E45E67015F9AED26EF65BDF019D867E642D2, StartTime=2018.01.23-08.58.38, HierarchicalDDC=, DataSize=62190, Duration=1.974866, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionIdCBD8BD2844F6979B4B26CB9020995F1B_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_62D8195341DB45C1714C3CA117102F7__ED4175742F9527388713AC539E54D285EB54CA07, StartTime=2018.01.23-08.58.38, HierarchicalDDC=, DataSize=64924, Duration=1.900352, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
DDCTransactionId1E3D70444D05071CDB4468A015A1DDAC_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CED5EA074B055AF8F149F2BF00116E8__2AD811B273197592B3BD3E488180966CB0E8A5C5, StartTime=2018.01.23-08.58.38, HierarchicalDDC=, DataSize=64924, Duration=2.234753, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=439.044189, FlushAsyncLoading=0.019532, FlushStreamingFunc=0.173662, BlockTillAllRequestsFinished=0.006307, ResetLoadersForSaveUnMarkAllObjects=608.387695, TagPackageExports=3.070608, BeginCacheForCookedPlatformData=0.002403, SerializeImports=4.793395, GatherLocalizableTextData=28.639290, MarkNames=0.121381, SerializeSummary=0.014421, SerializeNames=0.682928, SerializeGatherableTextData=0.054382, BuildExportMap=0.844266, SortExportsNonSeekfree=1.297347, SortExportsSeekfreeConstructor=0.048973, SortExportsSeekfreeInner=26.433077, SortExportsSeekfree=0.003304, BuildDependencyMap=0.219330, SerializeImportMap=0.067003, SerializeExportMap=0.067301, SerializeDependencyMap=0.015024, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.824640, SerializeExports=16.517292, SerializeBulkData=1030.220215, MoveFile=4.212622, UnaccountedTime=0.254482, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Components/Weapon_Meshs/Rapire_1.uasset, AutoPackageBackupDelegate=1.833051, FlushAsyncLoading=0.002701, FlushStreamingFunc=0.091337, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.288434, TagPackageExports=0.020731, BeginCacheForCookedPlatformData=0.001203, SerializeImports=0.657685, GatherLocalizableTextData=0.164047, MarkNames=0.004809, SerializeSummary=0.007812, SerializeNames=0.042662, SerializeGatherableTextData=0.000902, BuildExportMap=0.012018, SortExportsNonSeekfree=0.006311, SortExportsSeekfreeConstructor=0.042364, SortExportsSeekfreeInner=0.422433, SortExportsSeekfree=0.001803, BuildDependencyMap=0.005409, SerializeImportMap=0.005107, SerializeExportMap=0.003606, SerializeDependencyMap=0.000902, SerializeStringAssetReferenceMap=0.000902, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.122291, SerializeExports=0.233751, SerializeBulkData=0.096444, MoveFile=1.403406, UnaccountedTime=1.363747, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=5.013626, FlushAsyncLoading=0.004206, FlushStreamingFunc=0.089835, BlockTillAllRequestsFinished=0.004504, ResetLoadersForSaveUnMarkAllObjects=0.189885, TagPackageExports=1.830045, BeginCacheForCookedPlatformData=0.001501, SerializeImports=2.632253, GatherLocalizableTextData=2.536107, MarkNames=0.018626, SerializeSummary=0.009015, SerializeNames=0.092838, SerializeGatherableTextData=0.097048, BuildExportMap=0.120178, SortExportsNonSeekfree=0.416428, SortExportsSeekfreeConstructor=0.039358, SortExportsSeekfreeInner=5.779173, SortExportsSeekfree=0.003006, BuildDependencyMap=0.027642, SerializeImportMap=0.007812, SerializeExportMap=0.028845, SerializeDependencyMap=0.003606, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.534807, SerializeExports=3.153835, SerializeBulkData=0.005107, MoveFile=1.955934, UnaccountedTime=1.563549, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=1.989886, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.201903, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.143014, TagPackageExports=1.899149, BeginCacheForCookedPlatformData=0.001501, SerializeImports=2.588387, GatherLocalizableTextData=3.132802, MarkNames=0.022233, SerializeSummary=0.009313, SerializeNames=0.099149, SerializeGatherableTextData=0.102755, BuildExportMap=0.083826, SortExportsNonSeekfree=0.341915, SortExportsSeekfreeConstructor=0.040859, SortExportsSeekfreeInner=6.100658, SortExportsSeekfree=0.004206, BuildDependencyMap=0.057686, SerializeImportMap=0.007812, SerializeExportMap=0.015926, SerializeDependencyMap=0.003606, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.518584, SerializeExports=3.103659, SerializeBulkData=0.003904, MoveFile=3.770661, UnaccountedTime=1.533501, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=2.016928, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.118379, BlockTillAllRequestsFinished=0.004504, ResetLoadersForSaveUnMarkAllObjects=0.140611, TagPackageExports=1.867302, BeginCacheForCookedPlatformData=0.001203, SerializeImports=2.707064, GatherLocalizableTextData=2.939612, MarkNames=0.019226, SerializeSummary=0.008415, SerializeNames=0.098247, SerializeGatherableTextData=0.125289, BuildExportMap=0.081420, SortExportsNonSeekfree=0.370756, SortExportsSeekfreeConstructor=0.038758, SortExportsSeekfreeInner=6.146628, SortExportsSeekfree=0.003003, BuildDependencyMap=0.027042, SerializeImportMap=0.008114, SerializeExportMap=0.015926, SerializeDependencyMap=0.003304, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.878525, SerializeExports=3.265903, SerializeBulkData=0.004206, MoveFile=2.713673, UnaccountedTime=1.479119, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
SavePackageTransactionId698162E44B74C6FD00A2178CAA81823F_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/Items/Equipeble/Weapons/Weapon_Axe.uasset, AutoPackageBackupDelegate=1.898851, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.043564, BlockTillAllRequestsFinished=0.003304, ResetLoadersForSaveUnMarkAllObjects=0.138208, TagPackageExports=1.882024, BeginCacheForCookedPlatformData=0.001501, SerializeImports=2.651181, GatherLocalizableTextData=3.048375, MarkNames=0.022233, SerializeSummary=0.009015, SerializeNames=0.100050, SerializeGatherableTextData=0.088330, BuildExportMap=0.081424, SortExportsNonSeekfree=0.403807, SortExportsSeekfreeConstructor=0.041462, SortExportsSeekfreeInner=6.063100, SortExportsSeekfree=0.003304, BuildDependencyMap=0.045069, SerializeImportMap=0.009015, SerializeExportMap=0.017125, SerializeDependencyMap=0.003606, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.381778, SerializeExports=3.357842, SerializeBulkData=0.003904, MoveFile=2.063796, UnaccountedTime=1.268204, RunGuid=RunIDA2D007D847D30ECC0DE4BB855940C4B6
