CookerStat, GenerateAssetRegistry=0.085630, Initialize=13.133805, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=52.546043, FlushAsyncLoading=0.013221, FlushStreamingFunc=0.039060, BlockTillAllRequestsFinished=0.005707, ResetLoadersForSaveUnMarkAllObjects=0.346426, TagPackageExports=97.393219, BeginCacheForCookedPlatformData=0.005107, SerializeImports=102.317383, GatherLocalizableTextData=73.045219, MarkNames=0.479527, SerializeSummary=0.018626, SerializeNames=0.778180, SerializeGatherableTextData=0.597008, BuildExportMap=0.967465, SortExportsNonSeekfree=31.545412, SortExportsSeekfreeConstructor=1.009833, SortExportsSeekfreeInner=122.162163, SortExportsSeekfree=0.006910, BuildDependencyMap=0.829559, SerializeImportMap=0.051077, SerializeExportMap=0.429053, SerializeDependencyMap=0.153232, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.500206, SerializeExports=143.565399, SerializeBulkData=0.020429, MoveFile=2.668042, UnaccountedTime=1.772389, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=7.880945, FlushAsyncLoading=0.005707, FlushStreamingFunc=0.096146, BlockTillAllRequestsFinished=0.005707, ResetLoadersForSaveUnMarkAllObjects=0.170060, TagPackageExports=118.006561, BeginCacheForCookedPlatformData=0.006609, SerializeImports=109.660210, GatherLocalizableTextData=81.442345, MarkNames=0.470214, SerializeSummary=0.016827, SerializeNames=0.772469, SerializeGatherableTextData=0.666112, BuildExportMap=0.892051, SortExportsNonSeekfree=35.792950, SortExportsSeekfreeConstructor=0.779081, SortExportsSeekfreeInner=128.395401, SortExportsSeekfree=0.007212, BuildDependencyMap=1.086745, SerializeImportMap=0.051979, SerializeExportMap=0.427548, SerializeDependencyMap=0.140615, SerializeStringAssetReferenceMap=0.002705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.997156, SerializeExports=143.093689, SerializeBulkData=0.009917, MoveFile=10.172818, UnaccountedTime=2.237793, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter_Player.uasset, AutoPackageBackupDelegate=8.490570, FlushAsyncLoading=0.006910, FlushStreamingFunc=0.118379, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.329297, TagPackageExports=1.127008, BeginCacheForCookedPlatformData=0.001505, SerializeImports=1.699675, GatherLocalizableTextData=3.492195, MarkNames=0.026438, SerializeSummary=0.010215, SerializeNames=0.096146, SerializeGatherableTextData=0.075717, BuildExportMap=0.138208, SortExportsNonSeekfree=0.170957, SortExportsSeekfreeConstructor=0.041466, SortExportsSeekfreeInner=11.277292, SortExportsSeekfree=0.003304, BuildDependencyMap=0.023436, SerializeImportMap=0.011120, SerializeExportMap=0.010215, SerializeDependencyMap=0.003003, SerializeStringAssetReferenceMap=0.000902, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.311368, SerializeExports=2.512407, SerializeBulkData=0.005107, MoveFile=1.366168, UnaccountedTime=0.179674, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter_Player.uasset, AutoPackageBackupDelegate=4.827417, FlushAsyncLoading=0.003904, FlushStreamingFunc=0.098851, BlockTillAllRequestsFinished=0.003304, ResetLoadersForSaveUnMarkAllObjects=0.137307, TagPackageExports=0.945833, BeginCacheForCookedPlatformData=0.001505, SerializeImports=1.602326, GatherLocalizableTextData=3.224190, MarkNames=0.023134, SerializeSummary=0.009313, SerializeNames=0.222038, SerializeGatherableTextData=0.009313, BuildExportMap=0.131898, SortExportsNonSeekfree=0.145722, SortExportsSeekfreeConstructor=0.038758, SortExportsSeekfreeInner=11.865586, SortExportsSeekfree=0.004206, BuildDependencyMap=0.024639, SerializeImportMap=0.009615, SerializeExportMap=0.009917, SerializeDependencyMap=0.003003, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.851369, SerializeExports=1.792219, SerializeBulkData=0.003904, MoveFile=3.006354, UnaccountedTime=1.433775, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter_Player.uasset, AutoPackageBackupDelegate=8.386012, FlushAsyncLoading=0.005107, FlushStreamingFunc=0.093743, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.203706, TagPackageExports=0.976782, BeginCacheForCookedPlatformData=0.001501, SerializeImports=1.745347, GatherLocalizableTextData=3.336255, MarkNames=0.019830, SerializeSummary=0.008415, SerializeNames=0.189885, SerializeGatherableTextData=0.031248, BuildExportMap=0.166453, SortExportsNonSeekfree=0.204910, SortExportsSeekfreeConstructor=0.041164, SortExportsSeekfreeInner=11.559420, SortExportsSeekfree=0.017725, BuildDependencyMap=0.037860, SerializeImportMap=0.009913, SerializeExportMap=0.010516, SerializeDependencyMap=0.003003, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.096240, SerializeExports=1.911797, SerializeBulkData=0.003606, MoveFile=17.900831, UnaccountedTime=1.295567, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter_Player.uasset, AutoPackageBackupDelegate=5.257670, FlushAsyncLoading=0.003908, FlushStreamingFunc=0.150226, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.149325, TagPackageExports=0.990603, BeginCacheForCookedPlatformData=0.001501, SerializeImports=1.792517, GatherLocalizableTextData=3.195945, MarkNames=0.020128, SerializeSummary=0.010516, SerializeNames=0.161346, SerializeGatherableTextData=0.009011, BuildExportMap=0.111170, SortExportsNonSeekfree=0.164349, SortExportsSeekfreeConstructor=0.038758, SortExportsSeekfreeInner=11.694629, SortExportsSeekfree=0.003904, BuildDependencyMap=0.024036, SerializeImportMap=0.010215, SerializeExportMap=0.009913, SerializeDependencyMap=0.003006, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.903047, SerializeExports=1.713499, SerializeBulkData=0.004508, MoveFile=2.792433, UnaccountedTime=1.716804, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/MyPawnDoc/MyFirstPersonCharacter.uasset, AutoPackageBackupDelegate=7.411633, FlushAsyncLoading=0.005409, FlushStreamingFunc=0.080220, BlockTillAllRequestsFinished=0.003304, ResetLoadersForSaveUnMarkAllObjects=0.231352, TagPackageExports=101.373955, BeginCacheForCookedPlatformData=0.005711, SerializeImports=104.633293, GatherLocalizableTextData=70.136208, MarkNames=0.514381, SerializeSummary=0.016522, SerializeNames=0.755347, SerializeGatherableTextData=0.665206, BuildExportMap=0.902869, SortExportsNonSeekfree=31.414415, SortExportsSeekfreeConstructor=0.807025, SortExportsSeekfreeInner=120.543610, SortExportsSeekfree=0.007510, BuildDependencyMap=0.897761, SerializeImportMap=0.051077, SerializeExportMap=0.417035, SerializeDependencyMap=0.104260, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.615879, SerializeExports=143.419083, SerializeBulkData=0.009615, MoveFile=2.785519, UnaccountedTime=1.916606, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=20.209833, FlushAsyncLoading=0.026140, FlushStreamingFunc=0.106361, BlockTillAllRequestsFinished=0.007510, ResetLoadersForSaveUnMarkAllObjects=69.332489, TagPackageExports=3.038507, BeginCacheForCookedPlatformData=0.002403, SerializeImports=4.842438, GatherLocalizableTextData=32.354240, MarkNames=0.170060, SerializeSummary=0.015024, SerializeNames=0.764355, SerializeGatherableTextData=0.057988, BuildExportMap=0.833467, SortExportsNonSeekfree=1.515496, SortExportsSeekfreeConstructor=0.076614, SortExportsSeekfreeInner=41.233898, SortExportsSeekfree=0.005711, BuildDependencyMap=1.487553, SerializeImportMap=0.087433, SerializeExportMap=0.070307, SerializeDependencyMap=0.039659, SerializeStringAssetReferenceMap=0.003006, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.369992, SerializeExports=18.261377, SerializeBulkData=1064.077271, MoveFile=4.413091, UnaccountedTime=1.509786, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=4.467469, FlushAsyncLoading=0.003908, FlushStreamingFunc=0.076316, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=67.580833, TagPackageExports=3.037907, BeginCacheForCookedPlatformData=0.001803, SerializeImports=4.822910, GatherLocalizableTextData=32.445877, MarkNames=0.165548, SerializeSummary=0.014123, SerializeNames=0.678729, SerializeGatherableTextData=0.058889, BuildExportMap=0.836767, SortExportsNonSeekfree=1.479745, SortExportsSeekfreeConstructor=0.109065, SortExportsSeekfreeInner=41.483875, SortExportsSeekfree=0.005711, BuildDependencyMap=0.182375, SerializeImportMap=0.118677, SerializeExportMap=0.074215, SerializeDependencyMap=0.087734, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.868833, SerializeExports=18.602695, SerializeBulkData=1046.934448, MoveFile=4.340678, UnaccountedTime=0.510175, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
SavePackageTransactionId9411BA794F630EEB62BA7D8F8934CAEF_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/NewFont.uasset, AutoPackageBackupDelegate=5.613707, FlushAsyncLoading=0.005707, FlushStreamingFunc=0.036355, BlockTillAllRequestsFinished=0.003308, ResetLoadersForSaveUnMarkAllObjects=0.317279, TagPackageExports=0.008713, BeginCacheForCookedPlatformData=0.000902, SerializeImports=0.566959, GatherLocalizableTextData=0.038460, MarkNames=0.003003, SerializeSummary=0.006311, SerializeNames=0.018626, SerializeGatherableTextData=0.001203, BuildExportMap=0.007510, SortExportsNonSeekfree=0.003006, SortExportsSeekfreeConstructor=0.040259, SortExportsSeekfreeInner=0.070307, SortExportsSeekfree=0.001803, BuildDependencyMap=0.003606, SerializeImportMap=0.005409, SerializeExportMap=0.003304, SerializeDependencyMap=0.001203, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.299387, SerializeExports=0.102155, SerializeBulkData=3.247019, MoveFile=1.056101, UnaccountedTime=1.370076, RunGuid=RunID00EC21B241A16DB3D2BF2D9C3FE25506
