CookerStat, GenerateAssetRegistry=0.017729, Initialize=0.094041, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/W_HUD_HelthStats.uasset, AutoPackageBackupDelegate=11.555817, FlushAsyncLoading=0.007812, FlushStreamingFunc=0.126190, BlockTillAllRequestsFinished=0.006609, ResetLoadersForSaveUnMarkAllObjects=0.467207, TagPackageExports=0.531502, BeginCacheForCookedPlatformData=0.001505, SerializeImports=1.298565, GatherLocalizableTextData=2.912916, MarkNames=0.018328, SerializeSummary=0.010215, SerializeNames=0.065800, SerializeGatherableTextData=0.070609, BuildExportMap=0.051979, SortExportsNonSeekfree=0.134300, SortExportsSeekfreeConstructor=0.049878, SortExportsSeekfreeInner=1.446392, SortExportsSeekfree=0.003003, BuildDependencyMap=0.024639, SerializeImportMap=0.006910, SerializeExportMap=0.013821, SerializeDependencyMap=0.003602, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.274915, SerializeExports=1.280542, SerializeBulkData=0.010215, MoveFile=2.037387, UnaccountedTime=1.634479, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/W_HUD_HelthStats.uasset, AutoPackageBackupDelegate=4.241832, FlushAsyncLoading=0.002701, FlushStreamingFunc=0.160143, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.137910, TagPackageExports=0.525497, BeginCacheForCookedPlatformData=0.001200, SerializeImports=1.342736, GatherLocalizableTextData=3.962707, MarkNames=0.027642, SerializeSummary=0.008713, SerializeNames=0.062194, SerializeGatherableTextData=0.194695, BuildExportMap=0.070907, SortExportsNonSeekfree=0.176366, SortExportsSeekfreeConstructor=0.044771, SortExportsSeekfreeInner=1.599323, SortExportsSeekfree=0.002705, BuildDependencyMap=0.038158, SerializeImportMap=0.005707, SerializeExportMap=0.014722, SerializeDependencyMap=0.006910, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.283331, SerializeExports=1.295563, SerializeBulkData=0.002705, MoveFile=1.717404, UnaccountedTime=1.491763, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/W_HUD_HelthStats.uasset, AutoPackageBackupDelegate=4.143883, FlushAsyncLoading=0.002403, FlushStreamingFunc=0.190187, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.138510, TagPackageExports=0.500258, BeginCacheForCookedPlatformData=0.001200, SerializeImports=1.369175, GatherLocalizableTextData=3.671866, MarkNames=0.022534, SerializeSummary=0.009615, SerializeNames=0.064600, SerializeGatherableTextData=0.092540, BuildExportMap=0.053782, SortExportsNonSeekfree=0.185680, SortExportsSeekfreeConstructor=0.006311, SortExportsSeekfreeInner=1.583099, SortExportsSeekfree=0.002403, BuildDependencyMap=0.038758, SerializeImportMap=0.005707, SerializeExportMap=0.015024, SerializeDependencyMap=0.007212, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.286635, SerializeExports=1.226459, SerializeBulkData=0.002705, MoveFile=1.242083, UnaccountedTime=0.214525, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/W_HUD_HelthStats.uasset, AutoPackageBackupDelegate=10.279480, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.194393, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.174563, TagPackageExports=0.560351, BeginCacheForCookedPlatformData=0.001203, SerializeImports=1.261309, GatherLocalizableTextData=3.477473, MarkNames=0.017725, SerializeSummary=0.007812, SerializeNames=0.064000, SerializeGatherableTextData=0.063095, BuildExportMap=0.084426, SortExportsNonSeekfree=0.180874, SortExportsSeekfreeConstructor=0.039361, SortExportsSeekfreeInner=1.537427, SortExportsSeekfree=0.002105, BuildDependencyMap=0.025239, SerializeImportMap=0.005707, SerializeExportMap=0.014722, SerializeDependencyMap=0.007510, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.279125, SerializeExports=1.317497, SerializeBulkData=0.003606, MoveFile=1.174178, UnaccountedTime=1.346942, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/W_HUD_HelthStats.uasset, AutoPackageBackupDelegate=4.309732, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.221435, BlockTillAllRequestsFinished=0.003606, ResetLoadersForSaveUnMarkAllObjects=0.143919, TagPackageExports=0.714183, BeginCacheForCookedPlatformData=0.003304, SerializeImports=1.745947, GatherLocalizableTextData=3.489789, MarkNames=0.017427, SerializeSummary=0.008415, SerializeNames=0.063393, SerializeGatherableTextData=0.072710, BuildExportMap=0.085931, SortExportsNonSeekfree=0.244271, SortExportsSeekfreeConstructor=0.006609, SortExportsSeekfreeInner=1.515496, SortExportsSeekfree=0.002407, BuildDependencyMap=0.026438, SerializeImportMap=0.005409, SerializeExportMap=0.015020, SerializeDependencyMap=0.006910, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.466008, SerializeExports=1.322001, SerializeBulkData=0.002705, MoveFile=1.811147, UnaccountedTime=0.199504, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/W_HUD.uasset, AutoPackageBackupDelegate=5.879309, FlushAsyncLoading=0.006311, FlushStreamingFunc=0.163447, BlockTillAllRequestsFinished=0.020429, ResetLoadersForSaveUnMarkAllObjects=0.201605, TagPackageExports=0.559751, BeginCacheForCookedPlatformData=0.001501, SerializeImports=1.238175, GatherLocalizableTextData=4.447341, MarkNames=0.017129, SerializeSummary=0.010815, SerializeNames=0.115074, SerializeGatherableTextData=0.111468, BuildExportMap=0.045370, SortExportsNonSeekfree=0.038158, SortExportsSeekfreeConstructor=0.050478, SortExportsSeekfreeInner=1.131512, SortExportsSeekfree=0.002705, BuildDependencyMap=0.013221, SerializeImportMap=0.006609, SerializeExportMap=0.007812, SerializeDependencyMap=0.002403, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.135809, SerializeExports=0.778478, SerializeBulkData=0.005409, MoveFile=1.148041, UnaccountedTime=1.364969, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=20.038874, FlushAsyncLoading=0.010516, FlushStreamingFunc=0.077818, BlockTillAllRequestsFinished=0.005111, ResetLoadersForSaveUnMarkAllObjects=577.444336, TagPackageExports=3.118124, BeginCacheForCookedPlatformData=0.001803, SerializeImports=4.752003, GatherLocalizableTextData=30.904844, MarkNames=0.127692, SerializeSummary=0.013519, SerializeNames=0.642676, SerializeGatherableTextData=0.054382, BuildExportMap=0.821747, SortExportsNonSeekfree=1.441285, SortExportsSeekfreeConstructor=0.042062, SortExportsSeekfreeInner=40.024265, SortExportsSeekfree=0.004206, BuildDependencyMap=0.172760, SerializeImportMap=0.103358, SerializeExportMap=0.068802, SerializeDependencyMap=0.031248, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.993824, SerializeExports=16.543974, SerializeBulkData=1047.306396, MoveFile=4.045632, UnaccountedTime=0.286035, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/W_HUD_HelthStats.uasset, AutoPackageBackupDelegate=4.753806, FlushAsyncLoading=0.004206, FlushStreamingFunc=0.141516, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.171259, TagPackageExports=0.554942, BeginCacheForCookedPlatformData=0.001203, SerializeImports=1.267321, GatherLocalizableTextData=3.386732, MarkNames=0.019528, SerializeSummary=0.008114, SerializeNames=0.065200, SerializeGatherableTextData=0.076015, BuildExportMap=0.053179, SortExportsNonSeekfree=0.186585, SortExportsSeekfreeConstructor=0.041161, SortExportsSeekfreeInner=1.632977, SortExportsSeekfree=0.002701, BuildDependencyMap=0.025541, SerializeImportMap=0.005707, SerializeExportMap=0.015024, SerializeDependencyMap=0.007208, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.285733, SerializeExports=1.287151, SerializeBulkData=0.002403, MoveFile=1.085844, UnaccountedTime=1.191005, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/W_HUD_HelthStats.uasset, AutoPackageBackupDelegate=11.551306, FlushAsyncLoading=0.005409, FlushStreamingFunc=0.121985, BlockTillAllRequestsFinished=0.005711, ResetLoadersForSaveUnMarkAllObjects=0.244569, TagPackageExports=0.670016, BeginCacheForCookedPlatformData=0.001803, SerializeImports=1.300372, GatherLocalizableTextData=3.501207, MarkNames=0.030946, SerializeSummary=0.012018, SerializeNames=0.070006, SerializeGatherableTextData=0.077218, BuildExportMap=0.059791, SortExportsNonSeekfree=0.196800, SortExportsSeekfreeConstructor=0.048671, SortExportsSeekfreeInner=1.947854, SortExportsSeekfree=0.003003, BuildDependencyMap=0.041764, SerializeImportMap=0.006009, SerializeExportMap=0.016224, SerializeDependencyMap=0.008415, SerializeStringAssetReferenceMap=0.003304, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.357240, SerializeExports=1.661819, SerializeBulkData=0.003908, MoveFile=1.197618, UnaccountedTime=1.611039, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/UI/W_HUD_HelthStats.uasset, AutoPackageBackupDelegate=3.940172, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.097346, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.158340, TagPackageExports=0.526998, BeginCacheForCookedPlatformData=0.001203, SerializeImports=1.236074, GatherLocalizableTextData=4.283290, MarkNames=0.048075, SerializeSummary=0.011716, SerializeNames=0.067003, SerializeGatherableTextData=0.133101, BuildExportMap=0.083826, SortExportsNonSeekfree=0.183579, SortExportsSeekfreeConstructor=0.006910, SortExportsSeekfreeInner=1.718305, SortExportsSeekfree=0.002705, BuildDependencyMap=0.028543, SerializeImportMap=0.005707, SerializeExportMap=0.014722, SerializeDependencyMap=0.007208, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.285733, SerializeExports=1.477338, SerializeBulkData=0.003308, MoveFile=1.163062, UnaccountedTime=0.146922, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
SavePackageTransactionId92030AB54617906289C0E6AA7DAB2288_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=26.727009, FlushAsyncLoading=0.015926, FlushStreamingFunc=0.083826, BlockTillAllRequestsFinished=0.006609, ResetLoadersForSaveUnMarkAllObjects=72.016457, TagPackageExports=3.016274, BeginCacheForCookedPlatformData=0.002705, SerializeImports=4.749298, GatherLocalizableTextData=31.584169, MarkNames=0.142418, SerializeSummary=0.014722, SerializeNames=0.670314, SerializeGatherableTextData=0.053182, BuildExportMap=0.820242, SortExportsNonSeekfree=1.481846, SortExportsSeekfreeConstructor=0.046574, SortExportsSeekfreeInner=40.289265, SortExportsSeekfree=0.004508, BuildDependencyMap=1.043480, SerializeImportMap=0.076015, SerializeExportMap=0.070609, SerializeDependencyMap=0.042062, SerializeStringAssetReferenceMap=0.003304, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.494682, SerializeExports=17.682102, SerializeBulkData=998.915344, MoveFile=3.714528, UnaccountedTime=0.265602, RunGuid=RunID30A2CE5F4EA51D4C0F1AF4B799E8E67F
