CookerStat, GenerateAssetRegistry=0.018328, Initialize=0.109069, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_0, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto1.umap, AutoPackageBackupDelegate=3.659032, FlushAsyncLoading=0.013519, FlushStreamingFunc=0.082929, BlockTillAllRequestsFinished=0.008110, ResetLoadersForSaveUnMarkAllObjects=742.753967, TagPackageExports=3.543954, BeginCacheForCookedPlatformData=0.005707, SerializeImports=6.926861, GatherLocalizableTextData=35.236130, MarkNames=0.289347, SerializeSummary=0.025839, SerializeNames=1.330748, SerializeGatherableTextData=0.104863, BuildExportMap=0.908896, SortExportsNonSeekfree=1.550689, SortExportsSeekfreeConstructor=0.068203, SortExportsSeekfreeInner=46.318390, SortExportsSeekfree=0.020433, BuildDependencyMap=0.385493, SerializeImportMap=0.100955, SerializeExportMap=0.074815, SerializeDependencyMap=0.021033, SerializeStringAssetReferenceMap=0.003908, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.516672, SerializeExports=46.029343, SerializeBulkData=1299.954346, MoveFile=477.913452, UnaccountedTime=69.938644, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_1, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Maps/FirstPersonExampleMap_Auto2.umap, AutoPackageBackupDelegate=22.012178, FlushAsyncLoading=0.026140, FlushStreamingFunc=0.172466, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=59.411640, TagPackageExports=2.868816, BeginCacheForCookedPlatformData=0.001501, SerializeImports=4.809503, GatherLocalizableTextData=32.373329, MarkNames=0.153534, SerializeSummary=0.015624, SerializeNames=0.634879, SerializeGatherableTextData=0.055887, BuildExportMap=0.785708, SortExportsNonSeekfree=1.415476, SortExportsSeekfreeConstructor=0.045974, SortExportsSeekfreeInner=41.352646, SortExportsSeekfree=0.004206, BuildDependencyMap=1.044709, SerializeImportMap=0.075717, SerializeExportMap=0.072114, SerializeDependencyMap=0.033051, SerializeStringAssetReferenceMap=0.002705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.229732, SerializeExports=17.201778, SerializeBulkData=1082.525879, MoveFile=1.278467, UnaccountedTime=0.267711, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_2, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Saved/Autosaves/Game/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent_Auto3.uasset, AutoPackageBackupDelegate=42.697514, FlushAsyncLoading=0.031251, FlushStreamingFunc=0.199504, BlockTillAllRequestsFinished=0.006910, ResetLoadersForSaveUnMarkAllObjects=0.338923, TagPackageExports=43.952545, BeginCacheForCookedPlatformData=0.003606, SerializeImports=48.971771, GatherLocalizableTextData=30.065775, MarkNames=0.160746, SerializeSummary=0.033952, SerializeNames=0.405323, SerializeGatherableTextData=0.298962, BuildExportMap=0.365663, SortExportsNonSeekfree=10.289036, SortExportsSeekfreeConstructor=0.051379, SortExportsSeekfreeInner=43.376259, SortExportsSeekfree=0.004508, BuildDependencyMap=0.381585, SerializeImportMap=0.020731, SerializeExportMap=0.190493, SerializeDependencyMap=0.043567, SerializeStringAssetReferenceMap=0.002705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=29.753592, SerializeExports=59.795033, SerializeBulkData=0.019830, MoveFile=1.274563, UnaccountedTime=0.359952, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_3, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.793038, FlushAsyncLoading=0.004206, FlushStreamingFunc=0.056189, BlockTillAllRequestsFinished=0.003003, ResetLoadersForSaveUnMarkAllObjects=0.148129, TagPackageExports=43.978085, BeginCacheForCookedPlatformData=0.004210, SerializeImports=49.295666, GatherLocalizableTextData=31.484560, MarkNames=0.212427, SerializeSummary=0.013221, SerializeNames=0.381585, SerializeGatherableTextData=0.313986, BuildExportMap=0.328705, SortExportsNonSeekfree=10.385785, SortExportsSeekfreeConstructor=0.054684, SortExportsSeekfreeInner=44.128017, SortExportsSeekfree=0.005111, BuildDependencyMap=1.436811, SerializeImportMap=0.071209, SerializeExportMap=0.193797, SerializeDependencyMap=0.045072, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.147761, SerializeExports=63.194462, SerializeBulkData=0.006914, MoveFile=3.343545, UnaccountedTime=1.852654, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_4, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=4.028000, FlushAsyncLoading=0.004806, FlushStreamingFunc=0.138815, BlockTillAllRequestsFinished=0.005107, ResetLoadersForSaveUnMarkAllObjects=0.201911, TagPackageExports=46.837887, BeginCacheForCookedPlatformData=0.004508, SerializeImports=48.585075, GatherLocalizableTextData=31.863443, MarkNames=0.206418, SerializeSummary=0.013217, SerializeNames=0.418846, SerializeGatherableTextData=0.359956, BuildExportMap=0.334714, SortExportsNonSeekfree=10.573272, SortExportsSeekfreeConstructor=0.690464, SortExportsSeekfreeInner=47.051216, SortExportsSeekfree=0.004508, BuildDependencyMap=0.370469, SerializeImportMap=0.020429, SerializeExportMap=0.221740, SerializeDependencyMap=0.043567, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.305806, SerializeExports=62.939072, SerializeBulkData=0.007812, MoveFile=2.569858, UnaccountedTime=1.632411, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_5, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.658131, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.101857, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.147827, TagPackageExports=46.349636, BeginCacheForCookedPlatformData=0.004504, SerializeImports=47.660858, GatherLocalizableTextData=31.016138, MarkNames=0.248782, SerializeSummary=0.013821, SerializeNames=0.360854, SerializeGatherableTextData=0.303768, BuildExportMap=0.399314, SortExportsNonSeekfree=10.700371, SortExportsSeekfreeConstructor=0.046872, SortExportsSeekfreeInner=44.908920, SortExportsSeekfree=0.004508, BuildDependencyMap=1.295593, SerializeImportMap=0.038758, SerializeExportMap=0.225950, SerializeDependencyMap=0.054084, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.250821, SerializeExports=62.155167, SerializeBulkData=0.019830, MoveFile=4.450749, UnaccountedTime=3.033768, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_6, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.522620, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.207320, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.140615, TagPackageExports=46.474632, BeginCacheForCookedPlatformData=0.016823, SerializeImports=48.133480, GatherLocalizableTextData=30.684729, MarkNames=0.215732, SerializeSummary=0.011720, SerializeNames=0.365362, SerializeGatherableTextData=0.317890, BuildExportMap=0.380985, SortExportsNonSeekfree=10.528203, SortExportsSeekfreeConstructor=0.733130, SortExportsSeekfreeInner=46.092743, SortExportsSeekfree=0.004206, BuildDependencyMap=0.378884, SerializeImportMap=0.020131, SerializeExportMap=0.237666, SerializeDependencyMap=0.040259, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.282069, SerializeExports=60.355095, SerializeBulkData=0.006009, MoveFile=2.671711, UnaccountedTime=0.554353, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_7, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.863044, FlushAsyncLoading=0.003908, FlushStreamingFunc=0.144821, BlockTillAllRequestsFinished=0.005111, ResetLoadersForSaveUnMarkAllObjects=0.152934, TagPackageExports=47.750694, BeginCacheForCookedPlatformData=0.005711, SerializeImports=48.070084, GatherLocalizableTextData=30.691936, MarkNames=0.152938, SerializeSummary=0.013519, SerializeNames=0.458807, SerializeGatherableTextData=0.297159, BuildExportMap=0.415236, SortExportsNonSeekfree=10.552842, SortExportsSeekfreeConstructor=0.080824, SortExportsSeekfreeInner=43.374157, SortExportsSeekfree=0.007812, BuildDependencyMap=1.395047, SerializeImportMap=0.020131, SerializeExportMap=0.239771, SerializeDependencyMap=0.041462, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.735277, SerializeExports=65.264648, SerializeBulkData=0.007212, MoveFile=3.500685, UnaccountedTime=1.545880, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_8, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=5.304966, FlushAsyncLoading=0.028245, FlushStreamingFunc=0.226848, BlockTillAllRequestsFinished=0.006910, ResetLoadersForSaveUnMarkAllObjects=0.280932, TagPackageExports=49.457623, BeginCacheForCookedPlatformData=0.005107, SerializeImports=48.439953, GatherLocalizableTextData=31.289257, MarkNames=0.153538, SerializeSummary=0.013519, SerializeNames=0.370473, SerializeGatherableTextData=0.301063, BuildExportMap=0.405923, SortExportsNonSeekfree=10.667920, SortExportsSeekfreeConstructor=0.752058, SortExportsSeekfreeInner=47.629303, SortExportsSeekfree=0.004508, BuildDependencyMap=0.340726, SerializeImportMap=0.020131, SerializeExportMap=0.223242, SerializeDependencyMap=0.044469, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.594606, SerializeExports=62.984440, SerializeBulkData=0.008412, MoveFile=2.975780, UnaccountedTime=1.600266, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_9, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.619671, FlushAsyncLoading=0.003304, FlushStreamingFunc=0.207920, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.143923, TagPackageExports=50.650158, BeginCacheForCookedPlatformData=0.004806, SerializeImports=50.881512, GatherLocalizableTextData=31.102970, MarkNames=0.157744, SerializeSummary=0.010818, SerializeNames=0.387296, SerializeGatherableTextData=0.358749, BuildExportMap=0.359356, SortExportsNonSeekfree=10.283023, SortExportsSeekfreeConstructor=0.823569, SortExportsSeekfreeInner=48.999714, SortExportsSeekfree=0.004809, BuildDependencyMap=0.338621, SerializeImportMap=0.019830, SerializeExportMap=0.225347, SerializeDependencyMap=0.043869, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.553385, SerializeExports=64.426361, SerializeBulkData=0.006910, MoveFile=2.491735, UnaccountedTime=1.993269, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
SavePackageTransactionId8946D7974B879741A129FFAE22B3BE2D_10, Filename=../../../../../../Users/user/Documents/Unreal Projects/MyProject4 4.11/Content/FirstPersonBP/Blueprints/MyAddContent/MyPawn/Storage/StorageComponent.uasset, AutoPackageBackupDelegate=3.567990, FlushAsyncLoading=0.003006, FlushStreamingFunc=0.208821, BlockTillAllRequestsFinished=0.004504, ResetLoadersForSaveUnMarkAllObjects=0.147831, TagPackageExports=49.822685, BeginCacheForCookedPlatformData=0.003904, SerializeImports=47.874184, GatherLocalizableTextData=31.836100, MarkNames=0.162549, SerializeSummary=0.012923, SerializeNames=0.432964, SerializeGatherableTextData=0.329908, BuildExportMap=0.331409, SortExportsNonSeekfree=10.926016, SortExportsSeekfreeConstructor=0.710595, SortExportsSeekfreeInner=49.429375, SortExportsSeekfree=0.004508, BuildDependencyMap=0.348836, SerializeImportMap=0.020731, SerializeExportMap=0.274021, SerializeDependencyMap=0.043266, SerializeStringAssetReferenceMap=0.002403, SaveThumbNailsAssetRegistryDataWorldLevelInfo=14.575433, SerializeExports=64.583504, SerializeBulkData=0.007812, MoveFile=2.670810, UnaccountedTime=1.791660, RunGuid=RunID830E1F6D4AF2CDDCF78690BA3BB31BDE
